Elevation,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,Tree
2693,23,201,104,1201,808,Other
2651,29,42,21,1230,755,Other
2583,31,67,42,1682,1492,Other
2601,31,95,65,1657,1518,Other
2630,29,153,95,1606,1571,Other
2671,26,120,42,1531,1650,Other
2124,19,242,122,295,638,Other
2025,19,42,9,424,503,Other
2022,14,30,6,446,495,Other
2018,9,0,0,467,488,Other
2014,4,0,0,488,484,Other
2034,22,30,-2,547,524,Other
2025,9,30,-1,518,537,Other
2023,4,0,0,488,551,Other
3390,10,124,12,2610,2357,Other
3383,5,150,5,2529,2447,Other
3291,15,30,8,2255,2804,Other
2801,12,342,3,450,474,Other
2762,22,270,130,300,573,Other
2751,22,240,119,270,595,Other
2917,4,150,35,1177,2359,Other
2791,30,524,247,1253,957,Other
2649,24,0,0,1273,721,Other
2622,26,134,86,1648,1530,Other
2685,19,30,15,1476,1718,Other
2022,29,30,17,85,780,Other
2037,29,60,34,108,769,Other
2126,18,268,119,323,661,Other
2034,21,67,18,446,532,Other
2030,18,42,12,467,524,Other
2020,25,0,0,531,511,Other
2028,12,30,5,484,577,Other
2027,4,0,0,454,592,Other
2028,16,0,0,424,607,Other
2069,38,60,41,365,642,Other
1889,30,95,39,67,600,Other
3415,6,212,37,2673,2291,Other
2769,20,300,137,330,531,Other
2799,30,330,104,1384,1390,Other
2914,10,240,28,1852,1710,Other
2692,25,124,62,1277,706,Other
2686,26,95,56,1283,700,Other
2664,28,30,15,1302,691,Other
2769,12,162,62,1570,997,Other
2699,15,60,29,1518,1678,Other
2753,27,216,-18,1273,1984,Other
2059,18,95,56,150,731,Other
2040,24,60,22,509,547,Other
2036,16,42,9,481,604,Other
2032,10,30,5,451,618,Other
1905,27,134,58,120,636,Other
3312,13,60,12,2256,2766,Other
3100,9,323,-82,1565,1302,Spruce
2782,15,342,78,391,467,Other
2721,25,182,89,212,607,Other
2912,10,210,26,1871,1687,Other
2895,14,150,6,1092,2284,Other
2734,25,255,118,1291,725,Other
2689,26,60,40,1324,663,Other
2741,26,150,-1,1379,1861,Other
2041,16,30,5,480,631,Other
2036,9,0,0,450,644,Other
2081,31,150,53,270,553,Other
1879,19,30,12,95,778,Other
1874,14,0,0,90,793,Other
3377,11,268,43,2402,2574,Other
3303,10,0,0,2197,2832,Other
3290,11,95,7,2115,2776,Other
2741,19,247,109,277,541,Other
2718,24,190,86,218,592,Other
2734,28,201,104,1323,664,Other
2724,28,175,94,1321,655,Other
2565,17,0,0,1729,1276,Other
2606,41,108,53,1772,1409,Other
2660,37,180,12,1650,1544,Other
2767,24,134,-4,1358,1907,Other
2072,19,150,67,190,664,Other
2044,15,30,8,480,658,Other
1905,27,90,46,150,725,Other
1908,32,150,52,120,765,Other
1919,26,162,68,150,706,Other
1906,20,150,55,120,726,Other
1888,22,150,46,108,735,Other
1863,17,120,18,90,769,Other
3298,11,85,2,2122,2833,Other
3296,12,124,10,2089,2773,Other
3091,6,400,-83,1500,1201,Spruce
2976,23,553,149,1263,604,Spruce
2716,24,192,62,228,577,Other
2897,7,150,11,1867,1602,Other
2618,52,124,59,1789,1396,Other
2723,18,60,21,1575,1643,Other
2745,25,67,2,1464,1784,Other
2755,25,85,2,1442,1812,Other
2771,21,95,0,1401,1869,Other
2792,18,150,-9,1321,1983,Other
2208,10,120,12,85,277,Other
2199,22,60,15,277,426,Other
2039,13,0,0,480,674,Other
1948,19,0,0,90,402,Other
1904,26,67,30,162,711,Other
1972,34,216,123,190,721,Other
1927,25,190,76,175,735,Other
1898,23,175,56,134,765,Other
2790,15,295,56,466,361,Other
2662,24,95,8,150,674,Other
2898,9,120,12,1931,1617,Other
2949,6,216,22,2014,1940,Other
2779,24,382,163,1289,691,Other
2761,29,228,124,1263,607,Other
2700,19,42,5,1263,570,Other
2581,24,30,10,1702,1275,Other
2707,22,180,37,1687,1521,Other
2785,19,85,0,1403,1888,Other
2801,15,228,-5,1273,2089,Other
2078,33,95,73,150,644,Other
2109,27,228,104,268,589,Other
2145,25,382,133,433,571,Other
2041,25,30,2,510,685,Other
1896,12,30,6,175,732,Other
1951,36,150,96,150,907,Other
1916,24,190,60,162,832,Other
1983,33,210,134,180,779,Other
1992,33,228,143,212,750,Other
1977,33,256,128,228,752,Other
1916,25,212,74,175,789,Other
2764,15,228,60,390,417,Other
2739,18,175,35,309,497,Other
2677,22,85,23,192,636,Other
2665,23,67,11,170,664,Other
2875,15,150,-10,1826,1482,Other
2888,13,95,2,1888,1537,Other
2902,12,95,19,1996,1635,Other
2929,11,190,16,1033,2197,Other
2793,25,295,163,1239,604,Other
2736,26,134,63,1230,547,Other
2724,25,108,43,1230,543,Other
2761,20,30,8,1506,1765,Other
2039,25,30,6,511,671,Other
2030,4,0,0,481,644,Other
2076,32,90,39,391,566,Other
1999,37,67,51,153,384,Other
1936,28,127,57,190,644,Other
1903,13,42,4,201,708,Other
1901,9,30,2,190,726,Other
1928,31,30,14,180,765,Other
1967,35,180,112,180,918,Other
1927,27,218,72,190,859,Other
1944,30,240,93,210,815,Other
2931,23,404,104,1154,457,Other
2879,22,309,52,1006,324,Other
2816,8,242,29,626,216,Other
2800,15,240,13,541,277,Other
2792,16,240,5,513,300,Other
2776,13,228,42,457,350,Other
2662,20,180,9,1276,1170,Other
2673,18,180,20,1298,1172,Other
2774,22,153,17,1600,1254,Other
2872,17,108,-13,1869,1476,Other
2957,5,277,30,1906,1974,Other
2828,32,534,239,1271,743,Other
2805,24,309,168,1209,577,Other
2796,26,283,147,1206,564,Other
2591,25,30,13,1637,1222,Other
2715,11,218,33,1748,1471,Other
2786,21,0,0,1487,1813,Other
2116,27,150,109,212,577,Other
2122,23,175,117,234,564,Other
2176,26,424,165,485,514,Other
2042,28,30,12,514,658,Other
1982,38,42,29,108,324,Other
3111,14,450,-63,1376,1120,Spruce
2838,7,256,11,779,153,Other
2723,19,108,19,301,503,Other
2690,21,67,23,212,589,Other
2686,15,134,-8,1364,1146,Other
2694,13,124,0,1387,1150,Other
2705,13,120,10,1434,1159,Other
2878,18,67,-7,1911,1471,Other
2892,11,30,9,1994,1550,Other
2729,17,134,34,1172,481,Other
2782,21,30,16,1550,1747,Other
2788,21,30,16,1530,1776,Other
2802,19,0,0,1490,1834,Other
2227,12,258,91,85,330,Other
2046,29,30,16,518,646,Other
2032,10,0,0,488,618,Other
2105,26,120,66,371,510,Other
2063,38,150,115,228,384,Other
1919,22,67,9,256,661,Other
1964,31,90,42,240,787,Other
2010,30,300,161,270,866,Other
2062,30,300,213,272,845,Other
1983,35,300,132,270,871,Other
2811,10,182,24,646,170,Other
2795,10,180,8,564,242,Other
2784,12,180,-2,510,295,Other
2743,18,124,29,360,437,Other
2713,20,67,9,270,524,Other
2647,22,124,-5,1294,1110,Other
2668,18,120,15,1338,1112,Other
2703,10,90,8,1452,1130,Other
2713,13,90,18,1500,1142,Other
2838,12,90,24,1855,1374,Other
2739,16,175,44,1140,454,Other
2809,5,335,86,1224,595,Other
2220,11,201,84,150,365,Other
2217,6,182,81,192,379,Other
2199,11,376,144,537,459,Other
1980,37,30,15,90,218,Other
1970,24,285,115,270,942,Other
1968,35,277,118,272,918,Other
1903,16,108,36,120,969,Other
2981,22,430,154,1213,518,Other
2941,23,350,114,1172,430,Other
2810,11,153,23,658,150,Other
2770,15,134,31,450,342,Other
2761,16,124,27,420,371,Other
2691,21,30,12,210,577,Other
2690,12,67,-4,1425,1090,Other
2824,16,60,17,1842,1315,Other
2838,13,60,15,1879,1350,Other
2846,15,67,15,1898,1368,Other
2882,4,0,0,1996,1465,Other
2762,20,234,67,1110,437,Other
2777,23,150,28,1697,1587,Other
2819,19,60,24,1537,1819,Other
2116,25,192,102,258,499,Other
1980,22,300,125,300,927,Other
2055,37,360,206,330,918,Other
2094,25,361,245,335,902,Other
2048,32,379,199,362,900,Other
2013,36,360,162,331,924,Other
2027,39,360,176,330,930,Other
2831,4,192,4,780,60,Other
2828,7,170,41,750,67,Other
2792,12,120,5,570,218,Other
2786,13,120,0,540,247,Other
2665,27,30,-13,150,633,Other
2630,22,85,25,1316,1050,Other
2643,22,67,-9,1337,1050,Other
2655,21,60,2,1358,1050,Other
2695,10,30,0,1468,1065,Other
2705,9,30,3,1513,1077,Other
2728,14,30,7,1608,1110,Other
2751,17,42,-5,1681,1142,Other
2831,14,30,8,1884,1308,Other
2888,9,30,6,2038,1464,Other
2758,19,228,63,1080,395,Other
2812,20,108,17,1617,1725,Other
2828,19,90,33,1560,1812,Other
2083,35,60,60,150,642,Other
2045,24,30,10,541,618,Other
1949,22,60,28,330,708,Other
1999,15,270,77,330,886,Other
2105,25,361,41,365,932,Other
2042,32,371,-21,400,932,Other
2906,19,242,79,1101,331,Other
2896,22,216,69,1072,301,Other
2809,15,95,22,660,124,Other
2783,13,90,-3,540,242,Other
2649,26,67,-29,120,661,Other
2695,11,0,0,1487,1036,Other
2702,10,0,0,1510,1041,Other
2715,10,0,0,1579,1063,Other
2721,11,0,0,1602,1072,Other
2727,12,0,0,1626,1082,Other
2734,13,0,0,1650,1092,Other
2861,15,30,2,1982,1360,Other
2902,9,0,0,2143,1530,Other
2867,20,120,51,779,1961,Other
2163,28,90,27,313,497,Other
2209,21,376,204,443,371,Other
2218,13,382,159,467,365,Other
2037,17,0,0,552,612,Other
2129,12,210,96,342,379,Other
1946,17,30,4,330,595,Other
1946,17,0,0,360,642,Other
1964,21,60,35,360,691,Other
2058,32,342,-5,430,962,Other
2071,28,390,204,390,992,Other
2911,19,256,84,1110,360,Other
2876,27,175,49,1050,270,Other
2796,16,60,9,630,150,Other
2741,22,458,63,872,1173,Other
2653,21,0,0,1401,990,Other
2683,15,0,0,1464,997,Other
2785,19,30,13,1832,1158,Other
2820,17,30,13,1897,1224,Other
2884,9,0,0,2063,1400,Other
2894,9,30,3,2103,1443,Other
2896,5,30,3,2123,1465,Other
2856,16,60,21,721,1920,Other
2922,18,658,59,1199,819,Other
2798,18,361,103,1024,391,Other
2832,20,162,37,1663,1712,Other
2113,20,30,2,457,424,Other
2112,39,175,101,242,511,Other
2102,30,212,78,277,467,Other
2125,23,277,114,339,408,Other
2224,14,361,165,484,335,Other
2038,19,30,1,591,636,Other
1950,20,0,0,30,127,Other
1983,15,162,-1,150,450,Other
1962,22,42,2,300,553,Other
2051,25,391,196,400,969,Other
2063,24,404,0,408,997,Other
2084,38,404,20,420,1019,Other
2101,31,446,37,420,1020,Other
2914,22,277,87,1082,391,Other
2896,21,218,69,1080,331,Other
2753,18,42,0,451,331,Other
2746,19,30,7,421,361,Other
2607,20,0,0,1340,964,Other
2618,21,0,0,1364,962,Other
2653,21,0,0,1423,960,Other
2719,10,60,14,1617,1006,Other
2798,19,60,26,1873,1148,Other
2819,17,60,30,1905,1182,Other
2836,10,42,-7,1956,1237,Other
2849,18,30,5,1992,1276,Other
2881,6,42,-2,2105,1401,Other
2607,10,0,0,1401,1034,Other
2836,19,212,41,1725,1648,Other
2855,14,180,60,1615,1825,Other
2210,22,127,61,90,514,Other
2103,13,0,0,417,390,Other
2093,12,30,-6,342,400,Other
2094,22,42,16,216,474,Other
2091,25,60,10,201,492,Other
2052,29,42,16,658,693,Other
2095,30,134,60,450,454,Other
2121,23,247,91,361,335,Other
1992,17,247,70,420,819,Other
2089,25,342,25,450,1044,Other
2096,36,295,32,474,1024,Other
2029,34,330,162,360,992,Other
2897,21,242,70,1050,365,Other
2761,14,0,0,514,277,Other
2747,16,30,-6,454,335,Other
2689,27,67,-33,247,543,Other
2738,12,60,3,1706,1008,Other
2744,13,60,9,1729,1020,Other
2796,17,90,27,1897,1123,Other
2836,9,67,-7,1981,1214,Other
2891,11,90,7,2167,1425,Other
2896,9,90,5,2188,1448,Other
2833,20,268,38,1789,1554,Other
2868,16,218,73,1606,1879,Other
2104,26,60,4,339,379,Other
2164,37,180,141,295,474,Other
2152,40,210,126,309,450,Other
2055,28,42,19,566,571,Other
2110,24,285,80,361,301,Other
1988,18,60,20,247,469,Other
3131,17,573,-43,1113,994,Other
2987,35,480,160,1055,607,Other
2792,9,0,0,658,150,Other
2782,12,30,-4,604,201,Other
2724,14,42,-8,371,430,Other
2860,15,90,16,2076,1273,Other
2958,17,134,33,792,1917,Other
2869,13,240,74,1681,1786,Other
2132,25,30,6,424,446,Other
2097,21,0,0,300,601,Other
2176,33,150,128,313,484,Other
2120,34,268,155,335,210,Other
2006,14,95,21,201,404,Other
1979,21,190,41,480,713,Other
2075,27,319,11,503,997,Other
2790,10,30,-1,618,192,Other
2777,15,60,-9,564,242,Other
2744,17,30,-7,458,351,Other
2735,16,30,-8,433,379,Other
2720,16,67,-18,379,437,Other
2977,21,85,10,1616,1972,Other
2820,32,124,70,1179,1337,Other
2871,15,272,76,1740,1723,Other
2138,25,108,32,424,306,Other
2162,36,120,94,335,497,Other
2139,27,283,106,426,331,Other
2015,28,85,50,127,67,Other
1983,21,228,45,510,731,Other
2001,15,309,81,510,816,Other
2054,24,342,-3,518,931,Other
2112,25,234,48,540,1065,Other
3061,35,612,284,1027,853,Other
2815,9,30,-5,808,162,Other
2803,6,0,0,721,153,Other
2802,7,0,0,693,162,Other
2799,8,0,0,664,175,Other
2776,16,85,-10,552,258,Other
2768,16,85,16,524,283,Other
2760,16,67,8,497,309,Other
2732,19,60,-19,417,390,Other
2654,16,30,1,1504,841,Other
2915,15,190,24,2120,1465,Other
2877,12,301,82,1765,1719,Other
2883,16,301,88,1698,1839,Other
2144,26,120,16,566,309,Other
2126,17,153,30,323,382,Other
2040,7,30,-3,716,684,Other
2050,21,42,12,691,663,Other
1944,22,0,0,30,277,Other
2025,29,175,3,170,297,Other
2025,19,120,3,212,342,Other
2003,24,95,35,418,552,Other
1988,18,150,28,474,607,Other
2022,26,376,100,541,866,Other
2083,25,255,25,569,1012,Other
3260,18,600,72,1476,2317,Spruce
2856,13,95,29,930,277,Other
2851,18,67,24,918,255,Other
2842,20,42,13,888,234,Other
2816,12,0,0,800,190,Other
2736,22,90,-15,430,376,Other
2663,15,30,1,1544,812,Other
2670,14,0,0,1571,815,Other
2622,18,0,0,1406,1150,Other
2883,9,331,88,1789,1717,Other
2180,31,134,54,532,319,Other
2116,31,192,71,268,433,Other
2067,27,30,12,876,335,Other
2046,17,0,0,782,618,Other
2041,6,0,0,757,648,Other
2005,14,309,67,570,771,Other
2063,24,258,5,589,977,Other
3132,11,457,-42,1020,1159,Other
2887,25,365,60,912,524,Other
2828,17,30,5,824,228,Other
2817,10,42,5,735,210,Other
2814,10,60,3,706,212,Other
2809,12,60,3,677,218,Other
2801,14,60,-1,648,228,Other
2776,18,108,-20,560,277,Other
2767,18,127,-26,532,297,Other
2750,20,124,-1,474,342,Other
2718,25,120,-33,390,417,Other
2765,18,175,39,1894,932,Other
2971,15,30,4,1556,1962,Other
2962,6,0,0,1528,1989,Other
2977,11,382,97,1048,938,Other
2169,16,90,20,300,497,Other
2183,25,180,58,552,212,Other
2148,22,210,50,384,319,Other
2054,7,0,0,895,323,Other
2055,9,0,0,918,351,Other
2062,29,0,0,966,408,Other
2046,10,0,0,799,612,Other
2046,5,30,0,774,641,Other
2046,10,42,5,750,671,Other
2152,32,212,114,594,495,Other
2208,25,277,174,534,408,Other
2205,30,300,168,516,379,Other
2059,29,153,37,212,258,Other
2038,20,295,-19,607,912,Other
2103,20,127,39,564,875,Other
2005,30,277,102,277,810,Other
2751,17,134,25,1891,890,Other
2766,11,150,30,1936,924,Other
2973,14,30,11,1546,1950,Other
2859,19,277,6,789,95,Other
2210,26,190,77,541,277,Other
2175,20,210,52,631,216,Other
2168,22,240,61,458,234,Other
2147,24,255,101,323,376,Other
2059,22,0,0,841,228,Other
2055,2,0,0,865,256,Other
2058,15,0,0,890,285,Other
2062,20,30,7,914,313,Other
2056,11,30,1,960,371,Other
2053,2,0,0,984,400,Other
2055,15,0,0,967,430,Other
2051,18,30,5,841,577,Other
2044,5,0,0,816,607,Other
2048,4,30,2,792,636,Other
2048,10,60,2,768,666,Other
2078,26,127,14,700,618,Other
2111,30,170,32,658,560,Other
2036,29,30,14,319,351,Other
2020,23,180,44,510,582,Other
2022,15,342,-35,631,849,Other
2114,11,127,56,660,949,Other
2100,27,85,36,661,916,Other
1939,18,134,40,153,800,Other
1936,13,120,37,127,816,Other
2833,14,90,10,815,285,Other
2688,13,30,2,1667,735,Other
2693,11,0,0,1693,742,Other
2743,13,108,11,1911,865,Other
2660,26,42,12,1473,1291,Other
2184,21,153,38,335,446,Other
2141,27,240,91,300,390,Other
2085,32,150,35,210,474,Other
2170,25,0,0,306,446,Other
2056,7,0,0,858,218,Other
2062,21,30,3,882,247,Other
2053,11,30,0,983,424,Other
2049,7,0,0,957,454,Other
2055,19,30,1,907,514,Other
2044,2,0,0,834,603,Other
2052,14,42,0,787,663,Other
2036,20,331,74,658,726,Other
2035,20,365,-22,660,815,Other
1929,16,90,30,108,787,Other
3010,27,485,233,888,949,Other
2858,10,192,29,810,384,Other
2803,22,134,-19,693,301,Other
2775,26,153,-35,603,323,Other
2685,26,108,37,365,469,Other
2660,14,0,0,1364,731,Other
2706,10,0,0,1760,731,Other
2740,8,67,8,1910,824,Other
2871,13,192,18,742,95,Other
2215,26,270,92,636,134,Other
2188,16,295,67,525,170,Other
2070,25,120,20,180,495,Other
2067,21,0,0,853,182,Other
2062,7,0,0,876,212,Other
2054,20,30,5,973,451,Other
2047,8,0,0,949,481,Other
2047,5,30,1,900,541,Other
2045,2,30,1,876,571,Other
2045,8,0,0,853,601,Other
2052,15,0,0,830,631,Other
2059,17,30,7,807,661,Other
2059,39,150,119,175,297,Other
2055,32,30,23,404,395,Other
2057,28,247,81,592,633,Other
1965,22,170,60,175,722,Other
2855,7,300,28,781,488,Other
2809,20,150,-13,751,331,Other
2739,9,42,3,1931,799,Other
3029,11,335,96,642,1699,Other
2742,23,255,14,1061,810,Other
2655,8,0,0,1441,1290,Other
2082,26,150,32,210,459,Other
2257,30,150,85,540,510,Other
2060,12,30,-6,895,210,Other
2096,31,67,40,942,270,Other
2057,24,30,10,966,480,Other
2052,16,0,0,942,510,Other
2047,11,0,0,918,540,Other
2045,10,0,0,895,570,Other
2057,18,0,0,850,630,Other
2001,46,90,66,120,361,Other
1940,34,30,6,60,408,Other
1931,7,0,0,30,433,Other
1946,25,60,32,108,499,Other
1988,33,95,80,124,382,Other
2047,40,228,159,218,42,Other
2128,34,150,106,300,212,Other
2073,36,162,-28,534,541,Other
2076,24,277,-104,633,661,Other
2108,17,120,44,474,752,Other
2070,31,242,60,323,700,Other
3204,12,342,50,1205,2072,Spruce
2845,15,234,22,750,433,Other
2792,22,182,-30,720,360,Other
2713,27,192,60,510,417,Other
2675,7,0,0,1358,698,Other
2728,9,0,0,1889,726,Other
2740,8,30,4,1952,774,Other
2756,12,30,9,2016,830,Other
2891,19,108,32,700,1744,Other
2955,19,576,-11,752,481,Other
2165,27,330,115,390,277,Other
2062,19,0,0,892,182,Other
2058,11,0,0,914,212,Other
2006,29,124,98,150,404,Other
1993,42,85,72,108,366,Other
2113,46,270,91,268,90,Other
2075,30,30,15,404,330,Other
2069,13,210,11,765,933,Other
2838,16,277,15,720,474,Other
2784,20,212,-38,720,390,Other
2753,24,240,-69,630,400,Other
2723,6,150,-7,1165,828,Spruce
2714,12,67,18,1240,768,Other
2647,9,30,5,1513,612,Spruce
2726,11,42,-1,1883,685,Other
2738,9,0,0,1952,732,Other
2747,8,0,0,2015,787,Other
2781,20,67,25,2103,870,Other
2959,18,67,11,331,1530,Other
2676,20,30,9,1465,1381,Other
2245,20,360,109,684,95,Other
2238,20,360,112,660,30,Other
2210,12,390,85,510,153,Other
2201,16,390,80,480,182,Other
2191,17,390,70,450,212,Other
2171,27,330,121,390,272,Other
2078,30,42,16,891,162,Other
2063,18,30,1,912,190,Other
2057,8,0,0,934,218,Other
2099,34,85,47,1026,454,Other
2200,39,124,58,716,566,Other
2102,26,228,-78,642,631,Other
2093,32,362,-87,767,781,Other
2084,29,330,26,781,841,Other
2076,8,150,18,711,870,Other
2829,19,300,6,690,499,Other
2809,22,247,-13,690,446,Other
2752,10,153,-2,1019,966,Other
2704,14,30,8,1282,726,Other
2696,11,0,0,1307,708,Other
2729,12,67,1,1899,659,Other
2748,10,30,6,2015,745,Other
2769,23,319,155,1068,904,Other
2678,13,30,11,1443,1383,Other
2192,23,360,142,421,240,Other
2258,22,127,20,379,492,Other
2071,26,30,-4,912,175,Other
2166,37,60,45,782,633,Other
2073,13,150,15,698,849,Other
2049,20,60,0,618,787,Other
3327,5,842,100,4650,1718,Other
3333,16,721,106,4155,1987,Other
3339,17,726,112,4097,2024,Other
2816,21,309,-6,660,510,Other
2807,22,285,-15,660,485,Other
2788,18,270,-34,663,459,Other
2697,8,0,0,1323,684,Other
2753,10,60,15,2037,722,Other
2777,14,30,4,2165,853,Other
2759,25,212,108,1199,1087,Other
2678,12,0,0,1401,1355,Other
2270,22,395,121,577,212,Other
2265,21,408,122,636,153,Other
2263,11,420,127,696,95,Other
2257,13,420,121,693,42,Other
2141,32,182,90,247,421,Other
2122,35,120,45,192,711,Other
2185,39,134,108,258,633,Other
2361,15,30,8,787,331,Other
2286,5,150,41,660,582,Other
2063,10,0,0,955,216,Other
2066,23,0,0,976,242,Other
2147,31,342,203,365,361,Other
1987,40,95,94,124,228,Other
2032,44,153,136,182,175,Other
1949,20,108,37,108,573,Other
3304,10,741,77,4468,1827,Other
2809,22,301,88,630,566,Other
2785,20,301,-37,631,495,Other
2759,8,67,6,2079,721,Other
2769,13,0,0,2143,787,Other
2773,11,0,0,2164,811,Other
2988,18,95,17,1438,1871,Other
2890,4,212,71,1441,1956,Other
2087,25,85,34,150,543,Other
2111,31,150,72,192,752,Other
2278,20,127,-19,485,469,Other
2289,9,134,27,690,618,Other
2064,13,30,-11,955,212,Other
2283,24,234,45,636,492,Other
2077,30,242,144,256,418,Other
2004,38,108,77,124,708,Other
2183,39,150,108,443,268,Other
2164,37,108,-16,636,553,Other
2141,30,218,-39,722,671,Other
2141,33,361,83,841,819,Other
1962,20,124,50,124,541,Other
2795,24,268,42,601,624,Other
2797,23,272,91,600,577,Other
2780,6,0,0,2207,816,Other
2244,14,421,123,524,175,Other
2234,19,400,184,466,228,Other
2206,26,285,155,351,342,Other
2192,31,256,141,323,371,Other
2141,33,175,90,242,459,Other
2233,23,216,-4,391,573,Other
2299,27,127,-13,524,474,Other
2290,10,201,34,720,569,Other
2076,23,30,12,918,190,Other
2064,5,0,0,937,201,Other
2293,14,268,55,616,484,Other
2137,27,335,196,351,424,Other
2163,30,182,-17,721,648,Other
2159,33,361,-21,858,824,Other
2013,23,85,25,256,532,Other
3289,11,655,62,4367,1924,Other
3294,13,648,67,4338,1940,Other
3310,11,630,83,4191,2023,Other
3442,22,641,-24,3466,2529,Spruce
3308,21,787,-39,1316,2607,Spruce
2784,23,242,78,570,604,Other
2778,21,240,72,570,579,Other
2699,20,30,12,1358,1396,Spruce
2231,12,379,131,446,268,Other
2216,20,295,165,362,351,Other
2248,30,228,-26,433,573,Other
2320,25,134,7,564,484,Other
2329,24,0,0,779,516,Other
2190,35,30,16,830,680,Other
2234,37,85,25,785,636,Other
2128,31,350,193,362,454,Other
1993,31,60,55,134,532,Other
1918,28,42,17,85,402,Other
2225,26,247,165,457,234,Other
2163,33,313,105,800,888,Other
3332,24,685,105,3834,2272,Spruce
2768,21,210,50,540,659,Other
2731,9,0,0,1253,732,Spruce
2929,8,30,-1,1853,1328,Other
2958,8,30,4,1673,1529,Other
2874,19,212,48,638,510,Other
2126,33,150,76,212,560,Other
2158,35,170,110,212,849,Other
2304,12,212,33,780,618,Other
2073,8,0,0,984,256,Other
2084,21,30,14,1003,268,Other
2186,28,0,0,872,722,Other
2124,27,391,189,402,481,Other
1989,18,0,0,150,537,Other
2011,37,153,103,190,524,Other
2125,35,258,232,283,228,Other
2241,37,150,116,537,342,Other
2188,34,42,18,600,443,Other
2209,38,30,28,658,524,Other
2218,36,120,37,721,607,Other
2206,36,150,25,743,636,Other
2030,22,67,9,474,616,Other
3292,11,573,65,4237,2039,Other
2742,21,216,36,514,607,Other
2808,14,0,0,2268,872,Other
2928,8,30,-2,1865,1290,Other
2931,8,0,0,1839,1319,Other
2935,8,0,0,1812,1348,Other
2944,9,0,0,1760,1405,Other
2947,9,0,0,1734,1434,Other
2976,8,0,0,1507,1695,Other
2194,34,270,153,319,768,Other
2362,28,162,32,644,513,Other
2330,25,127,24,812,658,Other
2073,14,30,0,990,277,Other
2069,3,0,0,1008,285,Other
2075,20,0,0,1026,295,Other
2159,27,153,75,1167,426,Other
2137,29,417,86,443,497,Other
1991,16,0,0,180,510,Other
2074,20,277,155,309,591,Other
2038,31,190,130,228,560,Other
1962,34,90,66,150,408,Other
2250,17,242,159,524,300,Other
2209,32,362,151,819,874,Other
3294,26,841,-53,1273,2656,Spruce
2741,20,153,35,480,655,Other
2844,22,30,3,2173,942,Other
2898,14,30,12,2012,1110,Other
2907,10,0,0,1959,1167,Other
2934,10,0,0,1825,1310,Other
2972,2,30,2,1514,1660,Other
2764,23,67,11,1392,1530,Spruce
2160,28,150,65,242,579,Other
2090,23,150,41,150,865,Other
2413,9,124,42,902,518,Other
2072,14,30,3,1032,313,Other
2068,4,30,0,1050,323,Other
2074,21,0,0,1068,335,Other
2091,23,306,49,350,631,Other
2022,34,134,39,192,577,Other
1958,30,30,25,134,474,Other
2149,31,319,248,342,277,Other
2260,14,228,135,564,342,Other
3278,4,532,51,4313,2043,Other
3310,4,564,83,3901,2282,Spruce
2728,18,134,22,450,677,Other
2832,21,0,0,2214,875,Other
2859,18,0,0,2133,959,Other
2877,13,30,-3,2080,1015,Other
2886,14,0,0,2026,1072,Other
2908,12,0,0,1945,1158,Other
2072,21,0,0,1110,376,Other
2068,30,67,39,247,418,Other
2029,27,30,26,240,443,Other
2016,22,0,0,240,458,Other
2075,28,95,71,247,531,Other
2255,34,127,59,659,469,Other
2256,30,95,60,726,566,Other
2245,33,228,64,849,725,Other
2246,28,371,65,842,864,Other
2052,27,150,37,484,576,Other
3280,11,484,53,4218,2115,Other
2877,13,0,0,2066,1006,Other
3007,20,85,12,571,997,Other
2706,13,0,0,1191,1339,Other
2083,17,0,0,180,684,Other
2207,21,319,163,361,850,Other
2299,26,342,-13,531,691,Other
2067,14,30,-4,1116,390,Other
2069,12,0,0,1134,402,Other
2313,29,108,23,808,674,Other
2113,30,134,69,309,365,Other
2040,28,30,11,272,402,Other
1948,13,0,0,180,558,Other
2035,39,162,129,255,426,Other
2281,19,234,128,631,408,Other
2277,31,170,81,671,467,Other
3285,11,450,58,4124,2188,Other
3293,12,454,66,4066,2222,Other
2866,11,30,2,2106,940,Other
2870,12,30,6,2080,968,Other
3006,20,150,22,190,1262,Other
2977,20,297,29,300,1342,Other
2092,29,30,8,210,655,Other
2417,21,150,38,947,685,Other
2304,15,361,16,930,642,Other
2239,17,295,104,1176,666,Other
2171,38,285,120,446,351,Other
2140,34,150,89,350,331,Other
2119,34,124,68,335,335,Other
2079,35,67,35,313,351,Other
2054,34,42,10,306,362,Other
2096,17,150,92,313,511,Other
2032,33,85,12,242,663,Other
1979,30,60,37,218,531,Other
2265,20,324,130,566,390,Other
2292,29,212,96,850,700,Other
2752,28,150,55,1040,1215,Other
2138,30,192,71,242,732,Other
2137,23,295,91,335,870,Other
2252,28,424,204,467,830,Other
2416,13,175,37,977,711,Other
2360,22,277,31,960,782,Other
2078,9,0,0,1182,457,Other
2084,15,30,11,1200,470,Other
2258,21,258,92,1149,732,Other
2183,28,218,132,426,306,Other
2168,31,162,117,391,300,Other
2145,38,134,94,376,301,Other
