Political_ID,Name_Political,Date_Political,Headline_Political,Description_Political
241,government+policy,2017-06-27,Mario Draghi confident over euro zone growth," Speculation is that monetary stimulus may be scaled back
            "
242,government+policy,2017-06-22,Hard Brexit could leave €600m hole in Government finances," Taoiseach to urge talks progress as ESRI says main impact would be on labour market
            "
243,government+policy,2017-06-19,Ibec warns of dangers of UK exit from EU without trade deal," Transitional arrangements needed to avoid disruption and legal uncertainty at borders
            "
244,government+policy,2017-06-15,"Interview: Angela McGowan, the CBI’s regional director for the North"," Brexit, the DUP’s shopping list, North-South trade, and the need to restore the assembly
            "
245,government+policy,2017-06-14,Business figures set out stalls as Donohoe enters Merrion Street," Broad welcome for new Minister for Finance who is told to invest in capital infrastructure
            "
246,government+policy,2017-06-14,The Tory beating at the polls? Blame the economy," London Briefing: Cost of living in Britain at four-year high and earnings are down
            "
247,government+policy,2017-06-10,Three key questions UK general election poses for Irish economy," Value of sterling, nature of Brexit and implications for island of Ireland all critical   
            "
248,government+policy,2017-06-10,Is Ireland in danger of creating another housing bubble?," Expert warnings  and market dysfunction  are fueling concerns about the property market   
            "
249,government+policy,2017-06-09,Sterling weakness following UK election hits Irish exporters," Expectations of softer Brexit policy help check slump in pound   
            "
250,government+policy,2017-06-09,"Pink slime, the ‘two-pizza rule’ and Apple’s ‘biggest brain’"," Planet Business: Board of Trade nostalgia in Britain, while Australia sets a new record   
            "
251,government+policy,2017-06-08,Chinese trade unexpectedly speeds up but is expected to drop," State measures to cool heated home prices expected to dampen property investment   
            "
252,government+policy,2017-06-08,Cantillon: NTMA may be relieved to reach fundraising target," Market volatility could follow FBI testimony, UK election and ECB meeting    
            "
253,government+policy,2017-06-07,OECD warns of another Irish housing bubble amid sharp rise in prices," Paris-based group says Irish authorities should tighten lending rules if needed    
            "
254,government+policy,2017-06-05,JP Morgan says strong Labour showing in vote could  support sterling," For Irish exporters Thursday’s vote  can provide some  relief or  erode their position   
            "
255,government+policy,2017-06-04,"Dublin 4 parking space for €40,000 and wifi too costly for Ryanair "," Seen & Heard: Also Scruffy Murphy’s to be demolished  for aparthotel    
            "
256,government+policy,2017-06-02,Noonan says his policies have led to sharpest cut in inequality in OECD," Departing Minister for Finance uses last major speech to defend his record   
            "
257,government+policy,2017-05-31,Ireland moves to sixth place in global competitiveness rankings," State’s   performance linked  to strong domestic growth and international invesment   
            "
258,government+policy,2017-05-29,Southern euro bonds fall as unease between Europe and US grows," Trade concerns have resurfaced after tumultuous two-day summit of G7
            "
259,government+policy,2017-05-28,How Trump and May have devalued the policy U-turn ," Bad  decisions must be ditched but reversals by  the US and UK leaders just  woo the mob    
            "
260,government+policy,2017-05-24,Martin Wolf: Free market economics needs a fundamental rethink ," To achieve what is needed at home, states also have to co-operate – always a hard task   
            "
261,government+policy,2017-05-22,EU warns budget will have to limit tax cuts and spending," Ireland now at risk of deviating from its budgetary targets in 2018, says commission   
            "
262,government+policy,2017-05-19,EU/ECB criticise Government use of windfall to raise public spending ," Supply of homes remains well below estimated demand fundamentals, officials say   
            "
263,government+policy,2017-05-19,Theresa May’s manifesto is strong on economic illiteracy," Chris Johns: Need to ensure growth and tackle monopolies absent from Conservative plan   
            "
264,government+policy,2017-05-18,Noonan’s legacy: coaxing the economy back from the abyss," From bailout to fastest-growing state in Europe, with a few controversies along the way   
            "
265,government+policy,2017-05-16,"Risk of another housing bubble remains low, Moody’s says "," Ratings agency warns acceleration in house prices needs to be monitored carefully   
            "
266,government+policy,2017-05-11,European Commission forecasts ‘robust expansion’ of Irish GDP," But Brexit and US tax changes could hamper Irish growth   
            "
267,government+policy,2017-05-10,Martin Wolf: Macron faces big challenges in reforming France," Country  is no basket case but does have economic issues to confront   
            "
268,government+policy,2017-05-10,May’s pledge to cap energy prices could short-circuit," London Briefing: Prime minister’s bright idea likely to leave voters out of pocket   
            "
269,government+policy,2017-05-05,US unemployment at 10-year low as growth bounces back," Data set to keep Federal Reserve on track to raise interest rates in coming months   
            "
270,government+policy,2017-05-05,US employment growth rebounding and wages increasing," Conditions could pave way for the Federal Reserve to raise interest rates next month   
            "
271,government+policy,2017-05-02,"Brexit challenge for Ireland will be to keep UK market share, says former WTO adviser"," Stuart Harbinson believes UK will forge free trade deal with EU as market worth €600bn   
            "
272,government+policy,2017-04-21,Housing data reveals  return of ‘leprechaun economics’," ‘Let CSO count housing completions – statistics we have now are dangerously useless’    
            "
273,government+policy,2017-04-21,Communicating the workers’ vision with a pragmatic style," Steve Fitzpatrick, the pragmatic union leader who won’t leave managing to the managers    
            "
274,government+policy,2017-04-15,Is there a boom? Is it getting boomier?," The Central Bank’s chief economist says a ‘Phoenix miracle’ is under way in the the economy, but few seem to be feeling the benefit   
            "
275,government+policy,2017-04-11, French chief executives brace for change under a new president," With stakes in more than a dozen publicly-traded companies, the French state owns a broader slice of the stock market than  other western European countries
            "
276,government+policy,2017-04-11,Only solution to Britain’s housing crisis may be economic crash," Staggeringly high prices may only be corrected by  market collapse,  economists warn   
            "
277,government+policy,2017-04-10,Michael Noonan sees scope for expanded budget in 2018 ," Minister for Finance says latest forecast says economy will grow by 3.7 per cent next year    
            "
278,government+policy,2017-04-08,Zuma dices with junk status for South Africa to bolster political hold," President’s decision to sack finance minister could have dire economic consequences   
            "
279,government+policy,2017-04-07,Higher taxes may be price of necessary investment ," Building  the homes we need in a fast-growing economy can run the risk of overheating    
            "
280,government+policy,2017-04-04,Brexit’s biggest loser may not be Ireland – it may actually be Poland," Poland looks more vulnerable to a painful divorce between the UK and European Union than anywhere else   
            "
281,government+policy,2017-04-03,Housing policy creating a vicious circle of  demand and higher prices," The more prices accelerate ahead of incomes, the more difficult it is for the average younger buyer to get on the first rung of the property ladder   
            "
282,government+policy,2017-04-03,Ires Reit to appeal planning refusal   in Sandyford ," The council disagrees with the ‘height, massing, scale and bulk’ of the development   
            "
283,government+policy,2017-03-31,Trump attacks China ahead of meeting with president," Two leaders to discuss trade at Mar-a-lago, the US president’s country club in Florida   
            "
284,government+policy,2017-03-31,Brexit: 50 things Ireland needs to know," Europe’s priorities  in secession talks are set out – but  what will it mean for Irish business?   
            "
285,government+policy,2017-03-29,"Brexit: North ‘uniquely vulnerable’ in post-Brexit landscape, say business leaders"," Checks at Border would represent an unwelcome return to the past, say local leaders   
            "
286,government+policy,2017-03-28,Want to solve income inequality? Simple: pay workers more," We accord the ‘dismal profession’ too much respect and listen to too much of its baloney   
            "
287,government+policy,2017-03-27,UK manufacturers urge PM  to drop threat of no Brexit deal," Businesses claim they would bear   brunt of trade barriers with  EU in absence of  deal   
            "
288,government+policy,2017-03-17,   Irish borrowers on knife edge as era of  low rates     winds down," Forecasts     are uncertain but    ‘normal’ growth appears to be returning in Europe and the US    
            "
289,government+policy,2017-03-15,What to watch out for when the Fed meets," Interest rates likely to lift by a quarter point   
            "
290,government+policy,2017-03-08,Martin Wolf: A bitter Brexit  seems the only game in town," Britain will leave the EU and the only question is on what and whose terms?   
            "
291,government+policy,2017-03-08,UK Budget: British growth forecast upgraded to 2%," Philip Hammond gives pubs £1,000 discount on new business rates    
            "
292,government+policy,2017-03-06,ECB ‘unlikely’ to boost bond lending to ease squeeze," ECB policymakers opened door to changes at January meeting after bond shortage   
            "
293,government+policy,2017-02-28,Greece bailout: What to expect from the latest talks," Greeks drop objections to pension cuts and tax reforms, but IMF  considered essential   
            "
294,government+policy,2017-02-27,Britain becoming a one-party state focused on fewer migrants ," As Ukip fades from the political arena, its  policy of immigration reduction prospers    
            "
295,government+policy,2017-02-22,"Help-to-buy scheme could push up house prices, warns EU"," European Commission says increased reliance on corporation tax also a concern   
            "
296,government+policy,2017-02-15,‘Another decade’ before property supply meets demand," Standard & Poor’s says Irish market remains severely impaired becuase of legacy issues   
            "
297,government+policy,2017-02-15,Brexit: Irish food and drink industry calls for urgent action ," Ibec  group says Ireland’s largest indigenous sector faces major  challenges in years ahead   
            "
298,government+policy,2017-02-14,Janet Yellen strikes hawkish tone on interest rate rises ," Fed chairwoman tells Congress to focus on policies to raise productivity of  US economy    
            "
299,government+policy,2017-02-10,"Property prices rose by 8.1% last year, new figures show"," In the capital, the highest house price growth was recorded in South Dublin, at 9.7 per cent   
            "
300,government+policy,2017-02-03,Getting to the core of Europe’s case against Apple and Ireland," Competition commissioner Margrethe Vestager has the iPhone giant in her sights   
            "
301,government+policy,2017-02-02,Brexit White Paper: the key points," Britain has published a document setting out its plans for negotiating leaving the EU   
            "
302,government+policy,2017-01-20,Markets give muted reaction to Donald Trump  speech," US stocks hold steady while  the dollar eases back against  rivals after inauguration   
            "
303,government+policy,2017-01-19,Draghi urges critics to ‘be patient’ and wait for recovery," European Central Bank  keeps rates unchanged, ready to extend bond purchases   
            "
304,government+policy,2017-01-17,North  ‘deeply worried’ about future of cross-Border trade," Businesses fear impact of potential customs tariffs despite May’s reassurances    
            "
305,government+policy,2017-01-17,Irish business groups concerned over ‘aggressive’ Brexit stance," Ibec says hardline attitude risks damaging UK’s close relationship with Ireland   
            "
306,government+policy,2017-01-17,Ireland is less innovative than it was last year - Bloomberg index," Ireland drops a place as Nordic nations dominate the top 15 most innovative countires, while South Korea reigns supreme and Russia is dealt a huge blow   
            "
307,government+policy,2017-01-17,Refresher: What is the customs union  and why might the UK leave it?," The British government is split on how close a partnership it should maintain on trade   
            "
308,government+policy,2017-01-17,Government’s property policy: tentative at best ," Impact of Help-to-Buy scheme will not affect enough buyers to accelerate inflation   
            "
309,government+policy,2017-01-09,What Theresa May’s latest Brexit message means for Ireland ," British prime minister’s message to Europe:  ‘We’re leaving, we’re coming out’   
            "
310,government+policy,2017-01-08,Economists as  pessimistic as ever about Brexit Britain’s  prospects," Annual  poll shows few encouraged by economic resilience since referendum    
            "
311,government+policy,2017-01-07,A rock hard Brexit looks increasingly on the cards," Departure of UK’s ambassador to the EU and strong economy emboldens Brexiteers   
            "
312,government+policy,2017-01-06,"We contribute billions to US economy, Toyota tells Trump"," Japanese company calmly explains it employs more than 136,000 people in America   
            "
313,government+policy,2017-01-05,US jobless claims fall to near 43-year low," Four-week moving average of claims fell 5,750 to 256,750 last week   
            "
314,government+policy,2016-12-30,"After 2016, economic forecasting for 2017 has got to be perilous"," Business review of 2016: Challenges for next year include Trump’s election, Brexit, euro zone issues and the threat of election-related upheavals in Europe   
            "
315,government+policy,2016-12-19,Finland plans to hand out no-strings cash to unemployed ," The Nordic country will give  cash to 2,000  in a universal basic income experiment   
            "
316,government+policy,2016-12-17,"Do we really need 30,000 new homes a year?"," ESRI’s estimate of structural demand is based on   household formation rates   
            "
317,government+policy,2016-12-15,Bank of England says sterling recovery could help with inflation," UK rates unchanged at record low of 0.25%   
            "
318,government+policy,2016-12-14,The US rate hike – what does it mean for Ireland?," Move could be good for Irish exporters but Trump’s fiscal plans throw spanner in works   
            "
319,government+policy,2016-12-13,Martin Wolf: China crisis is just a matter of time," One-party Leninist rule allied with endemic corruption does not bode well for future   
            "
320,government+policy,2016-12-08,Three things to look out for at today’s ECB meeting," ECB has to make some big policy calls while trying not to set off a panic in the markets   
            "
321,government+policy,2016-12-05,"UK will have to renegotiate 56 trade deals, says economist"," ESRI conference told of  mammoth challenge facing Britain after it withdraws   
            "
322,government+policy,2016-12-05,Cliff Taylor: Key implications for Ireland of Italy’s No vote," All eyes on the markets as euro and Italian bank shares hit by volatile swings   
            "
323,government+policy,2016-12-02,US jobless rate falls to lowest level in nine years," Fed  rate rise  in December now almost certain as unemployment rate drops to 4.6%   
            "
324,government+policy,2016-11-28,"Britain may leave EU with no future trade deal, Bruton warns"," Former taoiseach lays out possible ‘doomsday scenario’ for Irish trade   
            "
325,government+policy,2016-11-25,Japan eyes only modest spending rise next year," PM seeks to both bolster growth and rein in the developed world’s heaviest debt burden   
            "
326,government+policy,2016-11-23,"US jobless figures rise but remain below 300,000 threshold"," Data show new orders for US-manufactured capital goods rebounding in October   
            "
327,government+policy,2016-11-09,"Cliff Taylor: First Brexit, now Trump – what the result means for Ireland"," New US president’s trade and tax policies carry risks for a small, open economy like ours   
            "
328,government+policy,2016-11-07,Trump victory would trigger ‘violent’ market reaction ," Investors still don’t see him prevailing, says director of political risk consultancy Eurasia   
            "
329,government+policy,2016-11-07,"Economic impact for us after Brexit will be ‘severe’, warns report "," Cost of a ‘hard Brexit’ to Ireland in some areas may be even worse than in UK   
            "
330,government+policy,2016-11-07,Brexit effect expected to shrink economy by nearly 4% ," Department of Finance and top State agency forecasts ‘severe’ long-term consequences   
            "
331,government+policy,2016-10-21,EU’s trade deal with Canada on brink of collapse amid rancour," EU summit: Canadian trade minister declares deal dead as EU’s trade reputation takes hit   
            "
332,government+policy,2016-10-21, Margrethe Vestager not afraid to take on Europe’s taxing issues," EU competition commissioner is adamant Apple tax ruling is not  political issue   
            "
333,government+policy,2016-10-19,"Brexit means a slow squeeze, not a big hit"," Underlying signs point to higher unemployment and a slowdown in hiring   
            "
334,government+policy,2016-10-14,Carney and Yellen ease off inflation target to boost economies," Bank of England governor asserts independence from government following comments by Theresa May   
            "
335,government+policy,2016-10-14,Mushroom sector crisis exposes flaws in Irish response to  Brexit," Collapse in value of sterling has wiped out profit margins of producers selling into UK   
            "
336,government+policy,2016-10-12,Martin Wolf: Markets teach Theresa May a lesson over Brexit," British PM’s loose talk over UK’s EU exit has heightened possibility of economic crisis   
            "
337,government+policy,2016-10-11,Budget 2017: Full text of Michael Noonan’s speech," Read about all the measures announced by Minister for Finance in Dáil today    
            "
338,government+policy,2016-10-09,Lane warns of Brexit-related volatility as sterling slumps ," Central Bank governor says harder versions of Brexit will result in more   revisions to economic growth   
            "
339,government+policy,2016-10-07,Budget 2017: the crunch points,"   Next week’s budget will be no giveaway and is likely to leave the public distinctly underwhelmed 
            "
340,government+policy,2016-10-05,Martin Wolf: Deutsche’s woes show crisis has not gone away," Banking will remain an accident waiting to happen until proper safeguards are in place   
            "
341,government+policy,2016-10-04,IMF downgrades growth forecast for Irish economy ," Fund says Irish economy will grow 4.9 per cent  in 2016 and 3.2 per cent in 2017    
            "
342,government+policy,2016-10-03,Business groups reiterate need for ‘Brexit-proof’ budget," Fears of a hardline Brexit as sterling hits three-year low against the euro   
            "
343,government+policy,2016-10-03,Sterling slumps to new three-year low against euro ," British currency  trades at  87 cents after Theresa May’s announcement on Article 50     
            "
344,government+policy,2016-10-03,House prices up more than 7% as supply  constraints hit," Two quarterly reports from MyHome and Daft show prices rising but supply drying up   
            "
345,government+policy,2016-09-29,Irish insurance spend four times higher than EU average," Washington-based organisation highlights need for tough supervision of sector   
            "
346,government+policy,2016-09-26,Chris Johns: Sterling vulnerable as hard Brexit looms," As Britain moves towards exit talks, the UK currency is in the firing line   
            "
347,government+policy,2016-09-24,"Budget plan to help first-time buyers will backfire, warns economist"," Ronan Lyons says tax relief for those struggle to buy property will only increase prices   
            "
348,government+policy,2016-09-23,Door closing on prospects of  deal to open borders to trade  ," EU officials concede TTIP  likely to be parked until new US administration is bedded in    
            "
349,government+policy,2016-09-21,Martin Wolf: UK faces grim but unavoidable hard Brexit," Halfway houses between EU membership and hard exit from EU are uninhabitable   
            "
350,government+policy,2016-09-21,OECD warns governments of ‘low-growth trap’," Global growth set to remain at about 3 per cent this year and next   
            "
351,government+policy,2016-09-21,UK deficit leaves Hammond few options for Brexit budget boost," August shortfall  of £10.55 billion narrows chancellor’s room for manoeuvre    
            "
352,government+policy,2016-09-21,Paul Krugman: how we vote in US election really matters," Has anybody actually read the Libertarian candidate’s manifesto?   
            "
353,government+policy,2016-09-16,Apple row underlines why corporates need  foreign policy ," Media proliferation means  the actions of  firms are increasingly under the microscope   
            "
354,government+policy,2016-09-13,Brexit could darken already grim financial picture," Belfast Briefing: Northern Ireland Economic Outlook shows sharply slowed growth even before Brexit    
            "
355,government+policy,2016-09-08,What to watch out for in today’s ECB rates meeting," The markets will seek clues on plans to boost the euro zone economy   
            "
356,government+policy,2016-09-08,German growth expected to halve in 2017 as Brexit bites," Think tank slashes 2017 growth outlook to 1 per cent   
            "
357,government+policy,2016-09-08,British rebound after Brexit vote extends to housing and jobs," UK firms add permanent staff and spend more on temporary workers   
            "
358,government+policy,2016-09-07,Calls for more action to stop vulture funds using tax loophole," Michael Noonan’s changes to legislation seek to halt non-payment of taxes on profits   
            "
359,government+policy,2016-09-06,Apple ‘pot of gold’ could be boon for Irish bonds," Windfall could cut national debt by up to 10 per cent and narrow German debt spread   
            "
360,government+policy,2016-09-05,The transatlantic trade pact that risks more harm than good," It would be  unwise for European  politicians to push  policies to liberalise global trade and finance even further   
            "
361,government+policy,2016-09-02,"Apple windfall is ‘fool’s gold’,  former IDA chief warns"," Padraic White says ruling marks latest attempt by EU to get greater control over Ireland’s corporate taxes - and must be contested   
            "
362,government+policy,2016-08-26,"No quick fix for home rental crisis, say experts "," As rents reach new peak, experts says situation likely to get worse before getting better   
            "
363,government+policy,2016-08-19,City of London wants Swiss-style access to EU market," Norway model  seen as less attractive for UK finance sector which wants unique trade deal   
            "
364,government+policy,2016-08-19,Brexit fuels debate over State’s minimum wage," Business groups seize on UK vote and Low Pay Commission dissent to oppose hikes   
            "
365,government+policy,2016-08-14,Brexit’s economic impact on show this week," This week we start to see Brexit-era  in hard numbers with economic data published for July   
            "
366,government+policy,2016-08-11,UK government bonds turn negative and extend historic rally ," Bank of England falls short of target to buy more than £1 billion of long-dated debt   
            "
367,government+policy,2016-08-09,Chinese producer price deflation slows further," Pressure eases for central bank to cut rates   
            "
368,government+policy,2016-08-09,Danes need to prepare for Irish style property slowdown," Warning of price-fall ‘shell shock’  in market where  negative interest rates distort prices   
            "
369,government+policy,2016-08-04, Scale of monetary firepower unleashed shakes  markets," The £100bn funding available for banks reflects the fact further rates cuts have a diminished impact   
            "
370,government+policy,2016-08-04,Property prices to continue to rise in spite of Brexit," New S&P forecast shows Irish housing market to be second strongest in Europe this year   
            "
371,government+policy,2016-08-04,"Sterling slips before BoE rate call, oil boosts Asian shares"," Japan’s Nikkei rebounds to end the day up 1.1 per cent as yen weakens   
            "
372,government+policy,2016-08-03,Bank of England expected to cut interest rates to record low," Post-Brexit slowdown expected to shrink Britain’s economy and lead to first rate cut in seven years   
            "
373,government+policy,2016-08-03,Shot at redemption: UK can’t risk  long escape from downturn," Bank of England  expected to act to cut rates rather than delay   
            "
374,government+policy,2016-07-29,Monsieur Non and Scourge of the City face hard task over Brexit," Appointment of David Davis and Michel Barnier flag difficulty of EU/UK talks   
            "
375,government+policy,2016-07-21,ECB leaves interest rates unchanged as expected," ‘Too early’ to assess impact of Brexit vote on euro zone recovery   
            "
376,government+policy,2016-07-20,"Martin Wolf: Trump’s answer is ‘clear, simple and wrong’"," Stagnating incomes will not be solved by a dose of populist protectionism   
            "
377,government+policy,2016-07-19,Theresa May faces pressure on Brexit but opportunities exist," With TTIP at risk, the UK could theoretically end up with a better position than before   
            "
378,government+policy,2016-07-14,New UK finance minister pledges to restore confidence after Brexit  ," Philip Hammond   has  reputation   as  safe pair of hands after holding a number of portfolios   
            "
379,government+policy,2016-07-13,UK interest rates may come down but higher inflation is coming," This is something that neither consumers nor investors have had to worry about for some time   
            "
380,government+policy,2016-07-08,Carbon tax essential   for  decarbonising our economies," Emissions trading scheme ran aground when recession made permits worthless   
            "
381,government+policy,2016-07-06,‘Only adult in the room’ Carney puts markets on notice," Commercial property trading suspended amid Brexit vote jitters   
            "
382,government+policy,2016-07-05,Bank of England eases rules for banks to meet Brexit challenge," Bank says that risks are beginning to ‘crystalise’   
            "
383,government+policy,2016-07-04,Ibec paper stresses potential of digital economy," Report says value of Ireland’s digital economy has potential to reach €21.4bn by 2020   
            "
384,government+policy,2016-07-04,Danny McCoy: Brexit – Ireland must compete and collaborate with UK," We have a shared interest in a more open, competitive EU, better equipped to face the next wave of global economic challenges   
            "
385,government+policy,2016-07-01,Brexit: Northern Ireland businesses are in turmoil over  uncertain future," No one knows what the result will ultimately mean for firms in the province   
            "
386,government+policy,2016-06-30,Bank of England  sees need for summer stimulus after Brexit shock," Mark Carney says ‘economic outlook has deteriorated’   
            "
387,government+policy,2016-06-29,"For God’s sake, Boris, get a grip"," Johnson has no post-Brexit plan, and it shows, but for the UK’s sake he needs one now, and quick   
            "
388,government+policy,2016-06-27,Bank of Japan can hold off on expanding monetary stimulus," BOJ can intervene if necessary but won’t if Brexit fall-out proves temporary    
            "
389,government+policy,2016-06-24,No humble Brexit pie for Irishman behind half of UK’s sandwiches," Patrick Coveney not surprised, but much of corporate Ireland concerned about volatility   
            "
390,government+policy,2016-06-20,Brexit: Markets braced for ‘extreme volatility’ ahead of vote," Anxiety mounts concerning outcome which wiped $1 trillion from stock values 
            "
391,government+policy,2016-06-19,Brazil plans budget freeze for up to 20 years," Move would cut uncertainty on public finances, says finance minister Henrique Meirelles   
            "
392,government+policy,2016-06-18,"Brexit to prompt major cut in Irish growth forecasts, warns ESRI "," Think tank says Ireland’s trade position has already beed damaged by uncertainty   
            "
393,government+policy,2016-06-17,British business braces for Brexit," Amid speculation  on  what awaits the UK, many deals and transactions are on hold    
            "
394,government+policy,2016-06-17,Bank of England warns on Brexit vote,"   ‘Leave’  would hurt global economy and cause sterling to fall further, says bank 
            "
395,government+policy,2016-06-14,What might happen if the UK leaves the EU: The first 100 days," There’s no road map for European authorities in order to avoid alarmist leak   
            "
396,government+policy,2016-06-11,Eight combustible areas that require Michael Noonan’s attention," Growth, banks, Nama, car insurance, mortgages, Apple – the returning Minister for Finance has much on his plate   
            "
397,government+policy,2016-06-10,Further policy fixes needed to speed up European recovery ," OECD surveys find unemployment, low investment and sluggish credit hamper growth   
            "
398,government+policy,2016-06-10,Fiscal council report challenges new politics," Government is at risk this year of breaching the very fiscal rules it pledged to observe only weeks ago   
            "
399,government+policy,2016-06-07,Painful choices still hang over Greece," The IMF now acknowledges that the programme agreed in 2010 was wildly unrealistic    
            "
400,government+policy,2016-06-01,"Brexit could lead to 1.2% fall in Irish GDP, OECD warns"," Government cautioned against risk of overheating in economy    
            "
401,government+policy,2016-05-30,Is Stockholm’s house party over?," Property prices look set to fall as regulator looks  to limit  ratio of households’ borrowing  to income at 600%   
            "
402,government+policy,2016-05-24,Economist Brendan Walsh inspired generations of students ," Brendan Walsh was a sharp analyst of Irish economics and society    
            "
403,government+policy,2016-05-20,Markets cautiously applaud Kenny following Moody’s  rating upgrade," Agreement on Government  reassures markets that budget deficit will be cut   
            "
404,government+policy,2016-05-18,Government spending plans may fall foul of EU - Ibec," Employers’ group says capital spending proposals could break fiscal rules    
            "
405,government+policy,2016-05-17,Paul Krugman: We are hypocrites when it comes to family values," One presidential candiate has a plan for chid care, the other couldn’t care less   
            "
406,government+policy,2016-05-17,Breaking up (government departments) is hard to do," The  problems facing the Government will not be solved by reorganising departments    
            "
407,government+policy,2016-05-16,China’s central bank investigates bad loan data at banks," Build-up of bad debts follows the state-driven credit boom of 2009   
            "
408,government+policy,2016-05-13,Ireland regains coveted A-grade credit rating ," Moody’s  says that budget deficit should continue to fall under new government   
            "
409,government+policy,2016-05-13,"German economy powers ahead, but exports cloud picture"," Economy grew by 0.7% in the first three months, the highest  rate since  early  2014   
            "
410,government+policy,2016-05-13,Time to end Ireland’s ‘failed developer-led property market’ ," Ireland has an emergency and the new Minister for Housing is promising a powerful response. What’s at stake?   
            "
411,government+policy,2016-05-11,Martin Wolf: What works for Germany does not work for euro zone," Europe’s heavyweight needs to understand that its part of a club    
            "
412,government+policy,2016-05-06,Analysis: return of Michael Noonan a comfort to markets,"  Minister of Finance’s next term  presents  opportunity to consolidate  progress    
            "
413,government+policy,2016-05-04,Martin Wolf: Brexit will damage the UK," Referendum is not about sovereignty. It is about how best to exercise the country’s power. And that is best done in the EU   
            "
414,government+policy,2016-05-03,Ireland to be EU’s fastest-growing economy in 2016," European Commission revises its growth forecast for Ireland upwards to  4.9%    
            "
415,government+policy,2016-05-03,John FitzGerald: Ireland must protect  interests under Brexit," Anything that may  destabilise the Belfast Agreement would be a major concern    
            "
416,government+policy,2016-04-27,Martin Wolf: Debunking 10 Brexit shibboleths," Those in favour of leaving offer fantasies of damage done by staying and of opportunity opened by departure    
            "
417,government+policy,2016-04-22,Rising swell of  apprehension as political drift  continues ," Bickering over the next government brings concerns that  lack of a deal could end badly   
            "
418,government+policy,2016-04-19,Special Irish trade deal ‘impossible’ after  Brexit," British work and pensions secretary Stephen Crabb warns of likely trade barriers    
            "
419,government+policy,2016-04-18,German stance on ECB shows European ideal is defunct," There is a reason why this is happening - not a good one, but a powerful one. Money.   
            "
420,government+policy,2016-04-16,Turkey’s economy is booming despite dark shadow of volatility ," Attacks, war and a boycott by Russia have failed to curb trade, consumption and growth    
            "
421,government+policy,2016-04-15,China first-quarter economic growth slowest since 2009 ," GDP expanded 6.7% in first three months of the year to  15.9 trillion yuan (€2.18 trillion)   
            "
422,government+policy,2016-04-14,Ireland among 13 states that may oppose EU-Mercosur trade deal," States do not want EU opened to Argentinian and Brazilian farm products   
            "
423,government+policy,2016-04-03,Panama Papers: The secret offshore world of the elite," Millions of documents show heads of state, criminals and celebrities using secret hideaways in tax havens   
            "
446,government+policy,2016-03-15,"US job numbers increased by 242,000 last month"," Exchequer returns show that Revenue collected €7.2bn by the end of February    
            "
447,government+policy,2016-03-10,Can we have business as usual in Ireland’s ruptured political landscape?," Result of vote unlikely to cause big change in Irish fiscal policy, says ratings agency   
            "
448,government+policy,2016-03-10,There should be no time for anything that could hurt recovery," Cost of State borrowing eases as Fitch says it expects further deficit reductions   
            "
449,government+policy,2016-03-08,Tax receipts come in ahead of target ," After four years of buoyant growth it is important to consider whether the economy is expanding beyond its potential   
            "
450,government+policy,2016-03-05,Moody’s stays low-key after general election," FG and FF alignment seems to be the ‘only’ option, says Goodbody economist   
            "
451,government+policy,2016-03-04,Markets  unfazed by uncertainty over government," Populism makes position facing any minority government more problematic    
            "
452,government+policy,2016-03-04,Overheating Irish economy would need urgent remedial action  ," Praise for Ireland’s ‘remarkable’ rebound tempered by concern over tax, health and spending    
            "
453,government+policy,2016-03-04,State borrowing costs may be forced up," Boris Johnson’s intervention in Brexit debate prompted selling of Irish debt   
            "
454,government+policy,2016-03-02,"Business wants stability, but who knows now what it will get?"," Lack of transparency about market turmoil unsettles international investors   
            "
455,government+policy,2016-03-02,Cantillon: Gushing European Commission report comes too late for voters ," Of  four main parties in #ge16, Labour is only one that gets close to indexation   
            "
456,government+policy,2016-03-01,Cantillon: Markets so far not showing signs of anxiety over election," Analysis: Cost of State borrowing up as future Irish government remains uncertain
            "
457,government+policy,2016-03-01,Global growth fears cast shadow over G20 summit in Shanghai,"   Court received  37,000   complaints   arguing   programme amounted to illegal  financing    
            "
458,government+policy,2016-02-29,John FitzGerald: Main parties’ manifestos fall short on  welfare payments," Central Bank is now charging banks 0.1% for reserves    
            "
459,government+policy,2016-02-29,Brexit and election fears put investors on alert," The markets are saying they are losing faith in Draghi’s pledge to do ‘whatever it takes’   
            "
460,government+policy,2016-02-27,ECB defends  bond-buying plan in German court," Private consumption, which makes up 60% of GDP, down 0.8 % in October to December   
            "
461,government+policy,2016-02-27,"BOJ launches negative rates, already dubbed a failure by markets"," If you really want to know what’s going on take a look at  the Tax Strategy Group papers   
            "
462,government+policy,2016-02-25,The toxic twins of European finance return," OECD’s head of tax policy says protectionist measures by national governments had to be avoided   
            "
463,government+policy,2016-02-23,Japan economy shrinks more than expected in fourth quarter ," Fitch makes unusual decision  to upgrade Ireland’s debt rating during election    
            "
464,government+policy,2016-02-23,Arthur Beesley: Country’s tax policy is not built on election slogans," Plan is based on 4.3% GDP growth in 2016 and 3.6%  in 2017, down from 7% last year   
            "
465,government+policy,2016-02-17,"Beps averts collapse of global tax rules, conference told"," Bank of England forecasts Britain’s economy will grow 2.2% this year and 2.3%  in 2017   
            "
