Economical_ID,Name_Economical,Date_Economical,Headline_Economical,Description_Economical
535,Economic growth,2017-05-20,Jens Weidmann: Bundesbank president is man of principles," Merkel’s former adviser says return to normal monetary policy must not be delayed   
            "
536,Economic growth,2017-05-19,Theresa May’s manifesto is strong on economic illiteracy," Chris Johns: Need to ensure growth and tackle monopolies absent from Conservative plan   
            "
537,Economic growth,2017-05-18,ECB ‘shouldn’t wait too long’ before removing stimulus ," Board member says bank should be prepared to change stance quickly if necessary   
            "
538,Economic growth,2017-05-17,House prices and mortgage lending set to accelerate," Goodbody’s quarterly health check note Republic’s ‘strong economic momentum’   
            "
539,Economic growth,2017-05-16,"Risk of another housing bubble remains low, Moody’s says "," Ratings agency warns acceleration in house prices needs to be monitored carefully   
            "
540,Economic growth,2017-05-16,European Commission says it is monitoring Irish property price hikes," Commissioner says boost in supply is the only ‘durable solution’ to affordability in Ireland   
            "
541,Economic growth,2017-05-15,  Enterprise Ireland report reveals Brexit impact on Irish exports," Client companies record big drop in UK export growth  in 2016 as sterling depreciates   
            "
542,Economic growth,2017-05-14,G7 keeps watered-down pledge to promote free trade," Finance officials hope for breakthrough in meetings with US president later this year   
            "
543,Economic growth,2017-05-13,Impact  of Brexit on Ireland to be ‘negative and significant’ ," Significant resources must be set aside in readiness for impending risks, warns  IMF    
            "
544,Economic growth,2017-05-12,IMF warns  help-to-buy scheme adding to property pressures," Agency calls for close monitoring of house prices and  on  impact of rent increase caps   
            "
545,Economic growth,2017-05-12,Will Brexit break old patterns of Anglo-Irish migration?," Ireland and Britain have been a common labour market for decades. That may change   
            "
546,Economic growth,2017-05-11,Bank of England: interest rates may need to rise before late 2019," The bank opted to keep interest rates on hold in May   
            "
547,Economic growth,2017-05-11,European Commission forecasts ‘robust expansion’ of Irish GDP," But Brexit and US tax changes could hamper Irish growth   
            "
548,Economic growth,2017-05-10,"Euro zone unemployment higher than figures show, says ECB"," Wage growth has been unexpectedly weak for  bloc on its best economic run in a decade   
            "
549,Economic growth,2017-05-10,Martin Wolf: Macron faces big challenges in reforming France," Country  is no basket case but does have economic issues to confront   
            "
550,Economic growth,2017-05-10, ‘Intense hiring’ as professional job vacancies rise," HR compensation and benefits specialists are in demand as firms try to hang on to staff   
            "
551,Economic growth,2017-05-09,Markets muted as  Macron success had been  well flagged ," Cantillon:  big moves were  after  first  vote in April  which convinced investors of Macron  win    
            "
552,Economic growth,2017-05-09,Only 1 in 4 consumers report upturn in financial circumstances," Sentiment regarding  employment  and general economy improved despite concerns   
            "
553,Economic growth,2017-05-08,French result reduces the level of EU uncertainty," However, in these turbulent times, political risk has not been removed from the financial markets   
            "
554,Economic growth,2017-05-08,Ireland set for fastest euro zone growth for fourth year in a row," Davy upgrades forecasts on foot of positive indicators and falling unemployment   
            "
555,Economic growth,2017-05-06,Shortfall in tax returns points to tight Budget 2018," Income and corporation taxes need to come right if overall numbers are to stay on track    
            "
556,Economic growth,2017-05-05,US unemployment at 10-year low as growth bounces back," Data set to keep Federal Reserve on track to raise interest rates in coming months   
            "
557,Economic growth,2017-05-05,US employment growth rebounding and wages increasing," Conditions could pave way for the Federal Reserve to raise interest rates next month   
            "
558,Economic growth,2017-05-04,"Post-Brexit trade deal could take five years, warns UK analyst"," Investec’s chief UK economist  Philip Shaw says two-year timeline is ‘unachievable’   
            "
559,Economic growth,2017-05-03,Fed says  slowdown in US growth is temporary," US central bank still on course for  June  increase in short-term interest rates   
            "
560,Economic growth,2017-05-02,Greece and  lenders finally reach  deal on bailout reforms,"  Deal includes labour and energy reforms as well as pension cuts and tax rises   
            "
561,Economic growth,2017-05-01,US consumer spending stalls in March," Figures show the biggest part of US economy might take more time to gain momentum after a tepid start to the year   
            "
562,Economic growth,2017-04-28,Chris Johns: Despair is killing a generation in the US," Lack of hope and the opioid addiction epidemic combine to reverse lifespan amongst the white working class   
            "
563,Economic growth,2017-04-27,ECB sticks with  policy despite inflation shortfall ," ‘Cyclical recovery of the euro area economy is becoming increasingly solid,’ says Draghi    
            "
564,Economic growth,2017-04-25,Trump seeks 15% US corporate tax rate ," Plan could slow the flow of investment from the US to countries such as Ireland   
            "
565,Economic growth,2017-04-24,Chris Johns: Lies on economics show beliefs impervious to facts," Brexit narrative in UK shows how resistant beliefs can be to factual reality   
            "
566,Economic growth,2017-04-20,Trump order on steel imports review sparks fears," Review could lead to protectionist tariffs and escalate trade tensions with China   
            "
567,Economic growth,2017-04-20,State’s housing crisis: no solutions and no clear stats," Cantillon: Latest property price figures tell us little we didn’t already know   
            "
568,Economic growth,2017-04-19,Irish house prices up nearly 11% in year to February," Latest figures cast further doubt on Government figures for supply of new homes   
            "
569,Economic growth,2017-04-18,IMF expects Irish economy  to grow by 3.5% in 2017 ," Figure is lower than Government estimate, but body says global growth will rise  3.5%    
            "
570,Economic growth,2017-04-17,China’s economy grows 6.9% in first quarter of 2017," Better than expected growth prompted by retail sales revival and robust factory output   
            "
571,Economic growth,2017-04-15,Is there a boom? Is it getting boomier?," The Central Bank’s chief economist says a ‘Phoenix miracle’ is under way in the the economy, but few seem to be feeling the benefit   
            "
572,Economic growth,2017-04-14,Irish style economic short-termism is about to strike again," Wage demands threaten to overwhelm the Government’s budgetary balancing act   
            "
573,Economic growth,2017-04-14,Irish and Spanish recoveries  took rather different routes ," While Madrid’s banks were sound, its economy was hampered by high unemployment    
            "
574,Economic growth,2017-04-13,North’s economy lags  Republic and Britain," Growth of 1.6 per cent in 2016 as public sector shrank by 2.2 per cent, figures show   
            "
575,Economic growth,2017-04-12,NTMA sells €1.25bn of debt as investors eye French election," Demand for  bonds maturing in 2026 down slightly on similar auction last month   
            "
576,Economic growth,2017-04-12,Rise in number of professionals looking  for new opportunities," Morgan McKinley survey shows confidence has grown as economy stabilises   
            "
577,Economic growth,2017-04-12,Brexit poses a serious threat to economic prosperity ," National Competitiveness Council warns of pressing need to plan for sustainable growth   
            "
578,Economic growth,2017-04-11,Martin Wolf: China faces a tough fight to escape its debt trap," The country needs to rebalance its economy before opening up capital flows   
            "
579,Economic growth,2017-04-11,Only solution to Britain’s housing crisis may be economic crash," Staggeringly high prices may only be corrected by  market collapse,  economists warn   
            "
580,Economic growth,2017-04-08,Zuma dices with junk status for South Africa to bolster political hold," President’s decision to sack finance minister could have dire economic consequences   
            "
581,Economic growth,2017-04-07,Higher taxes may be price of necessary investment ," Building  the homes we need in a fast-growing economy can run the risk of overheating    
            "
582,Economic growth,2017-04-05,Economy set to grow  4.25% this year despite Brexit uncertainty," Growth forecast increased by Department of Finance from  3.5% prediction   
            "
583,Economic growth,2017-04-04,Unemployment falls to 6.4% as labour market  improves," Latest figures show State’s jobless rate is three points below euro-area average    
            "
584,Economic growth,2017-04-04,Brexit’s biggest loser may not be Ireland – it may actually be Poland," Poland looks more vulnerable to a painful divorce between the UK and European Union than anywhere else   
            "
585,Economic growth,2017-04-03,Average house price is now six times the average income," New surveys show a sharp pick-up in house prices in the first three months of the year   
            "
586,Economic growth,2017-04-03,Housing policy creating a vicious circle of  demand and higher prices," The more prices accelerate ahead of incomes, the more difficult it is for the average younger buyer to get on the first rung of the property ladder   
            "
587,Economic growth,2017-03-31,Trump attacks China ahead of meeting with president," Two leaders to discuss trade at Mar-a-lago, the US president’s country club in Florida   
            "
588,Economic growth,2017-03-31,Brexit: 50 things Ireland needs to know," Europe’s priorities  in secession talks are set out – but  what will it mean for Irish business?   
            "
589,Economic growth,2017-03-30,US tax plan could kill off the ‘leprechaun’ in Irish economics,"  Trump border  adjustment tax might curb contract manufacturing, says Karl Whelan   
            "
590,Economic growth,2017-03-29,Cliff Taylor: Between a rock and a hard Brexit," Theresa May’s comment that Brexit must not damage the Republic of Ireland rings a bit hollow   
            "
591,Economic growth,2017-03-29,"Brexit: North ‘uniquely vulnerable’ in post-Brexit landscape, say business leaders"," Checks at Border would represent an unwelcome return to the past, say local leaders   
            "
592,Economic growth,2017-03-28,Want to solve income inequality? Simple: pay workers more," We accord the ‘dismal profession’ too much respect and listen to too much of its baloney   
            "
593,Economic growth,2017-03-27,Households upbeat about economy despite uncertainty," Business mood remains muted ahead of UK’s triggering of Brexit process, survey shows   
            "
594,Economic growth,2017-03-23,"Construction boom could overheat economy, says ESRI"," Institute predicts sector will drive Irish economy to full employment next year   
            "
595,Economic growth,2017-03-20,Dublin placed 19th in list of  world’s  ‘smart cities’," Irish capital found to be  slowest-moving of major cities compared in bank report   
            "
596,Economic growth,2017-03-17,Planet Business: Green rhinos and Brexit upsets," Also this week: Buzz’s Mars dream, ‘Twibel’ and the Wolves player turned HSBC chairman   
            "
597,Economic growth,2017-03-17,   Irish borrowers on knife edge as era of  low rates     winds down," Forecasts     are uncertain but    ‘normal’ growth appears to be returning in Europe and the US    
            "
598,Economic growth,2017-03-17,Scotland’s independence not  economically viable this time around," Crucial commercial relationship with    UK ‘rump’ would be risked by messy divorce   
            "
599,Economic growth,2017-03-16,"Iceland bids farewell to capital controls, says 'hallo' to new risks"," Economic recovery owes much to flexibility not open to Ireland or Greece   
            "
600,Economic growth,2017-03-15,"US rates finally climbing, with real data fuelling ascent"," Pressing fiscal question is when will the ECB be prepared to follow the Federal Reserve?   
            "
601,Economic growth,2017-03-15,What to watch out for when the Fed meets," Interest rates likely to lift by a quarter point   
            "
602,Economic growth,2017-03-15,Federal Reserve raises interest rate by 0.25% ," Second rate rise in three months fuelled by job gains and improved global outlook    
            "
603,Economic growth,2017-03-14,Home ownership in Dublin falls to record low," Central Statistics Office  figures show one in four residents of the  capital are now renters    
            "
604,Economic growth,2017-03-13,Investors are betting on ECB rate rises before QE ends,"  President Mario Draghi acknowledges  balance of risks to growth has improved    
            "
605,Economic growth,2017-03-10,Strong US jobs figures pave way for Fed rate rise," Unemployment rate fell to 4.7%, and wages grew 2.8% from February   
            "
606,Economic growth,2017-03-09,Irish economy outpaces euro zone peers with 5.2% growth in 2016," Quarterly national accounts from CSO suggest output grew  in all sectors of economy   
            "
607,Economic growth,2017-03-08,Five ways the  British budget will affect Ireland ," Projected growth looks good but  Brexit impact and other variables could alter that   
            "
608,Economic growth,2017-03-08,UK Budget: British growth forecast upgraded to 2%," Philip Hammond gives pubs £1,000 discount on new business rates    
            "
609,Economic growth,2017-03-07,Economic nationalism seen as  threat to modest recovery," OECD forecasts higher interest rates in US could unleash damaging market volatility    
            "
610,Economic growth,2017-03-04,"Cantillon: US rate hike is coming, but all quiet on EU front"," European Central Bank unlikely to signal any easing of stimulus programme just yet   
            "
611,Economic growth,2017-03-03,Fed’s Janet Yellen says rate rise ‘appropriate’ if data holds up," Rates  likely to rise faster this year as economy  appears clear of any imminent hurdles    
            "
612,Economic growth,2017-03-03,Chris Johns: Is this a stock market bubble or  economic growth? ," Simple but brutal truth is that nobody has any idea what stock markets will do    
            "
613,Economic growth,2017-03-01,Martin Wolf: India’s destiny is in its own hands,"  India  has  some major obstacles to overcome  to become  global economic power   
            "
614,Economic growth,2017-02-28,Unemployment on course to dip below 6% later this year ," Latest monthly figures show no let up in level of job creation across the economy   
            "
615,Economic growth,2017-02-28,"North’s economy to grow faster than predicted		"," Danske Bank forecasts 0.8% growth this year, but warns Brexit could still bring surprises   
            "
616,Economic growth,2017-02-27,Britain becoming a one-party state focused on fewer migrants ," As Ukip fades from the political arena, its  policy of immigration reduction prospers    
            "
617,Economic growth,2017-02-26,Warren Buffett praises immigrants’ role in US economy," Billionaire remains optimistic in annual letter  to Berkshire Hathaway shareholders   
            "
618,Economic growth,2017-02-24,New home sales rebound in US but consumer sentiment ebbs," Consumer sentiment index fell in  January after rising in the aftermath of  Trump’s victory   
            "
619,Economic growth,2017-02-23,US treasury secretary promises August tax reform ," Steven Mnuchin said Trump administration would also review lending regulations   
            "
620,Economic growth,2017-02-23,Central Bank will intervene if house prices get out of control," Governor says lending rules have already led to a sharp moderation in expectations     
            "
621,Economic growth,2017-02-22,"Help-to-buy scheme could push up house prices, warns EU"," European Commission says increased reliance on corporation tax also a concern   
            "
622,Economic growth,2017-02-21,Strong jobs rise boosts economic growth prospects," Numbers at work rises by 3.3% in 2016 to over two million   
            "
623,Economic growth,2017-02-17,McCabe fallout: Financial analysts unfazed at prospect of new election ," Political instability in Ireland viewed as minor compared to European neighbours   
            "
624,Economic growth,2017-02-16,"Government  in denial about Brexit, says  Micheál Martin"," Fianna Fáil leader urges  special economic zone status for Northern Ireland   
            "
625,Economic growth,2017-02-14,Janet Yellen strikes hawkish tone on interest rate rises ," Fed chairwoman tells Congress to focus on policies to raise productivity of  US economy    
            "
626,Economic growth,2017-02-13,"Irish economy to grow 3.4%, says European Commission"," GDP is expected to have grown by 4.3 % last year but is forecast to decelerate    
            "
627,Economic growth,2017-02-08,"Uncertainty widens Italy, France bond yield gap with Germany"," Irish bond prices steady ahead of Thursday’s auction of up to €1.25bn in new debt   
            "
628,Economic growth,2017-02-07,UK can shake off Brexit aftermath - if it stays open to talent," PwC  says UK can remain economic power if labour market stays open to skilled workers   
            "
629,Economic growth,2017-02-06,"Brexit already hitting businesses, UK survey finds"," Up to 58% of respondents from Britain’s biggest firms see negative impact   
            "
630,Economic growth,2017-02-03,"Brexit and  corporate tax changes main risks to Ireland, says IMF"," International Monetary Fund advises ‘continued vigilance’ despite positive outlook   
            "
631,Economic growth,2017-02-02,Tax revenue boosted by pick-up in retail over Christmas," Exchequer returns show almost €6.8bn in taxes collected in  first month of 2017   
            "
632,Economic growth,2017-02-01,Federal Reserve leaves US interest rates unchanged," US officials grappling with change of direction since Trump election   
            "
633,Economic growth,2017-01-31,UK economy lifts spirits but gloomy view of 2017 remains," Survey indicates consumers may be starting to rein in spending    
            "
634,Economic growth,2017-01-27,US economy slowed more than expected in last quarter ," Strong job market and optimism for Trump policies expected to  spur growth in 2017   
            "
635,Economic growth,2017-01-26,Mixed signals for Dublin’s economy as consumer morale dips," Unemployment falls but property prices and rents continue to rise in the city   
            "
636,Economic growth,2017-01-25,Martin Wolf: ‘America first’ reads like a declaration of economic war ," Free trade is defended by communist China and the US is on the verge of becoming a rogue state   
            "
637,Economic growth,2017-01-24,Commissioner says EU-wide  tax consolidation   ‘good for Ireland’," Moscovici rejects Government’s claim  that CCCTB   would lower Irish  corporate tax base   
            "
638,Economic growth,2017-01-23,"Long-term unemployment a threat to EU project, says advocacy group "," Social Justice Ireland report  shows Ireland strong on higher education, weak on tax take    
            "
639,Economic growth,2017-01-20,Views of Trump’s likely economic impact divide into two camps," New president may send early signals on trade in line with his promise to bring jobs back to the US   
            "
640,Economic growth,2017-01-20,Markets give muted reaction to Donald Trump  speech," US stocks hold steady while  the dollar eases back against  rivals after inauguration   
            "
641,Economic growth,2017-01-20,Britain expects to complete Brexit talks in two years," UK chancellor Philip Hammond warns EU of consequences if  Britain is driven out of European market    
            "
642,Economic growth,2017-01-20,China’s economic growth slows to 26-year low of 6.7% in 2016 ," Growth exceeds predictions as state stimulus and robust property market buoy data   
            "
643,Economic growth,2017-01-19,The five biggest Irish threats from a hard Brexit," A Department of Finance analysis has outlined exactly how bad things could get   
            "
644,Economic growth,2017-01-16,ECB prints money at record pace amid bank bonds bonanza," European Central Bank bought €24.7bn worth of debt last week, figures show   
            "
645,Economic growth,2017-01-16,IMF raises UK growth forecast but global outlook unchanged," International Monetary Fund  also raises growth forecasts for China and US   
            "
646,Economic growth,2017-01-16,Irish house prices expected to rise 8% in 2017," Davy stockbrokers cites help-to-buy scheme and loosening of lending rules as key drivers   
            "
647,Economic growth,2017-01-15,Merkel warns of risks posed by rising protectionism," Countries benefit when they solve problems as partners, says German chancellor   
            "
648,Economic growth,2017-01-13,Buoyant UK economy sets off battle on  likely Brexit impact ," Strong consumer demand defies economists’ pessimism over post-poll  downturn   
            "
649,Economic growth,2017-01-13,John FitzGerald: What to expect from long-term Brexit effects," Policies of protectionism helped to ensure  Ireland was a backwater for 50 years   
            "
650,Economic growth,2017-01-11,UK economic growth set to slow dramatically in 2017 ," Surge in   inflation to 2.7% will end spending spree that has helped economy    
            "
651,Economic growth,2017-01-08,Economists as  pessimistic as ever about Brexit Britain’s  prospects," Annual  poll shows few encouraged by economic resilience since referendum    
            "
652,Economic growth,2017-01-06,Bank of England’s  Haldane admits crisis in economic forecasting," Central bank’s chief economist says the vote for Brexit will hit the British economy in 2017   
            "
653,Economic growth,2017-01-06,US job growth slows as wages rebound strongly," Figures point to rising inflationary pressure as president-elect Trump prepartes to enter White House   
            "
654,Economic growth,2017-01-06,Chinese economy enters unknown territory,"  With political changes ahead, Xi Jinping will want to  keep  the economy steady    
            "
655,Economic growth,2017-01-03,Robot at IDA briefing could not distract from threats ahead," Despite record job numbers and IBM’s robot,  Trump and Brexit cast a pall   
            "
656,Economic growth,2017-01-03,Employment in IDA-backed firms reaches record high," Almost  200,000  employed in multinationals but IDA warns of political uncertainty   
            "
657,Economic growth,2017-01-02,Survey shows German factory growth close to three-year high in December," Growth driven by rising demand from Asia and the US, says Markit   
            "
658,Economic growth,2016-12-30,"After 2016, economic forecasting for 2017 has got to be perilous"," Business review of 2016: Challenges for next year include Trump’s election, Brexit, euro zone issues and the threat of election-related upheavals in Europe   
            "
659,Economic growth,2016-12-27,Brexit vote overshadowed a busy year for North’s business," Jobs figures have been positive but uncertainty hangs over Bombardier   
            "
660,Economic growth,2016-12-19,Finland plans to hand out no-strings cash to unemployed ," The Nordic country will give  cash to 2,000  in a universal basic income experiment   
            "
661,Economic growth,2016-12-18,"Fed to remain cautious  on interest rates, top economists say"," ‘FT’ survey shows policymakers are waiting to see Donald Trump’s plans for economy   
            "
662,Economic growth,2016-12-16,Property prices rise by more than 7% despite lending rules," Yet RPPI figures from CSO suggest slight moderation in level of monthly inflation   
            "
663,Economic growth,2016-12-16,John FitzGerald: Economic forecasters must factor in surprise," We need to plan for range of post-Brexit possibilities, from  unfavourable to positive   
            "
664,Economic growth,2016-12-15,Are drivers finally beginning to trust Volkswagen again? ," Car maker gains market share  for  first time since emissions test scandal    
            "
665,Economic growth,2016-12-15,"Economy risks overheating due to house-building rise, ESRI warns "," Think-thank says big increase in construction could bring economy close to capacity   
            "
666,Economic growth,2016-12-14, Fed raises interest rate by 0.25% and indicates more to come," Market focuses on signals US central bank will  increase rates  three  times in 2017   
            "
667,Economic growth,2016-12-14,Fed signals  that interest rates are now firmly on the rise," The global interest rate cycle is turning,  but slowly and carefully   
            "
668,Economic growth,2016-12-14,The US rate hike – what does it mean for Ireland?," Move could be good for Irish exporters but Trump’s fiscal plans throw spanner in works   
            "
669,Economic growth,2016-12-13,Martin Wolf: China crisis is just a matter of time," One-party Leninist rule allied with endemic corruption does not bode well for future   
            "
670,Economic growth,2016-12-08,Cliff Taylor: Is the era of ultra-low interest rates coming to an end?," Even if rock-bottom rates are on their way out, it will be a very slow death   
            "
671,Economic growth,2016-12-08,Three things to look out for at today’s ECB meeting," ECB has to make some big policy calls while trying not to set off a panic in the markets   
            "
672,Economic growth,2016-12-05,"UK will have to renegotiate 56 trade deals, says economist"," ESRI conference told of  mammoth challenge facing Britain after it withdraws   
            "
673,Economic growth,2016-12-05,ECB’s Villeroy: can’t compare Italy ‘No’ vote to Brexit," Policymakers will be looking closely at the consequences of Italy’s referendum decision   
            "
674,Economic growth,2016-12-05,"Renzi defeat to intensify unease on risks of political, financial instability"," Concerns on  condition of Italy’s banks, public finances and economy are well-founded    
            "
675,Economic growth,2016-12-05, Common corporate tax base would seriously hurt Ireland - ESRI," Think-tank says foreign banks may be needed to satisfy  demand for mortgages   
            "
676,Economic growth,2016-12-02,‘Saving Private Renzi’: PM stakes all on poll that could bring down Italy’s banks ," Political fallout of a defeat for prime minister Matteo Renzi worries European chancelleries and the business community   
            "
677,Economic growth,2016-12-01,UK house prices rise at slowest rate since January," Nationwide points to  low borrowing rates as sign that market beginning to strengthen   
            "
678,Economic growth,2016-11-30," Pay hikes will mean spending cuts, warns fiscal watchdog"," Council cites evidence of slowdown in economy and ‘loss of momentum’   
            "
679,Economic growth,2016-11-29,US economy grows faster than expected," Sharp acceleration in GDP raises prospect for US rate rise at Fed’s December meeting   
            "
680,Economic growth,2016-11-29,Economic confidence in euro zone edges up in November," Weak  inflation rate in  19-country monetary union finally showing signs of picking up    
            "
681,Economic growth,2016-11-28,OECD downgrades Irish growth forecast but global economy boosted," Think-tank expects Trump administration to cut taxes on business and households   
            "
682,Economic growth,2016-11-28,"A ‘year of two halves’ for the economy, says Investec"," Pace of expansion of the Irish economy dipped sharply after the Brexit vote   
            "
683,Economic growth,2016-11-26,Martin Wolf: Can China pick up the baton dropped by Trump?," Political struggle is over who benefits from know-how developed by western companies    
            "
684,Economic growth,2016-11-25,Chris Johns: Ireland flexible enough for brutal logic of euro," Currency union for Greece and Italy has them into economic zombies   
            "
685,Economic growth,2016-11-25,Japan eyes only modest spending rise next year," PM seeks to both bolster growth and rein in the developed world’s heaviest debt burden   
            "
686,Economic growth,2016-11-23,Downbeat Philip Hammond offers little to soothe economic fears  ," Chancellor exposes damage Brexit is wreaking on British  economy    
            "
687,Economic growth,2016-11-23,"US jobless figures rise but remain below 300,000 threshold"," Data show new orders for US-manufactured capital goods rebounding in October   
            "
688,Economic growth,2016-11-22,Trump has done what he said he would do  on Pacific trade deal  ," Decision to withdraw from Pacific  deal will add to  concerns about Trump’s  wider trade policy and its impact on the world economy   
            "
689,Economic growth,2016-11-22,Unemployment revised down to new post-crash low of 7.5%," Latest CSO figures  show number of people working in State reaches eight-year high   
            "
690,Economic growth,2016-11-17,Yellen says US Fed could raise interest rates ‘relatively soon’," Federal Reserve  chair’s comments seen as clear hint of December hike   
            "
691,Economic growth,2016-11-17,ECB board hawk says it’s too early to talk of reducing stimulus ," Comments from Yves Mersch  suggest ECB monetary tightening is still distant   
            "
692,Economic growth,2016-11-16,UK unemployment falls to its lowest rate in 11 years ," Signs  labour market  slowing  due to Brexit uncertainty   
            "
693,Economic growth,2016-11-15,Goldman warns of possible stagflation under Trump presidency," Short-term gain for long-term pain is what the US could be looking at under Donald Trump   
            "
694,Economic growth,2016-11-15,Irish firms more worried about Brexit than  British counterparts," PwC survey suggests mood in Ireland is considerably more pessimistic than in UK   
            "
695,Economic growth,2016-11-14,What does Brexit mean for Irish manufacturers’ domestic sales?," Exporters  are affected by sterling’s dramatic fall, but so  are sales into the local market   
            "
696,Economic growth,2016-11-14,Construction activity in Republic rose again in  October ," Building, orders and employment all rose rapidly last month,  says Ulster Bank index   
            "
697,Economic growth,2016-11-11,Chris Johns: Our prosperity has much to fear from the goon squad," UK and US are engaged in a kind of cold civil war: that’s a recipe for economic stagnation   
            "
698,Economic growth,2016-11-11,Independence allowed State ‘exploit EU membership’ ," Republic would not have grown as it has if still part of UK, conference told   
            "
699,Economic growth,2016-11-11,Trump’s rise  serious challenge to Irish investment - PwC ," Survey points to increased caution among businesses in wake of Brexit and Trump win   
            "
700,Economic growth,2016-11-11,Problems of US working class not rooted in globalisation," Increased automation in manufacturing has eliminated many ‘traditional’ jobs   
            "
701,Economic growth,2016-11-11,Ireland faces major disruption  if Trump delivers on economic policies ," Big cut in US corporation tax rate would lessen incentive to invest abroad   
            "
702,Economic growth,2016-11-09,Ireland needs a trade strategy to avoid getting Trumped," Trump’s ‘America first’ trade and tax policy will have major implications for Ireland    
            "
703,Economic growth,2016-11-09,"Trump’s plans won’t damage US investment in Ireland, Noonan says"," Minister responds to speculation that US election will trigger investment backlash    
            "
704,Economic growth,2016-11-09,Trump win casts doubt on Fed's plans to hike interest rates," Republican’s victory also raises doubt over Fed chair Janet Yellen’s future   
            "
705,Economic growth,2016-11-09,"Cliff Taylor: First Brexit, now Trump – what the result means for Ireland"," New US president’s trade and tax policies carry risks for a small, open economy like ours   
            "
706,Economic growth,2016-11-08,Noonan seeks overhaul of   ‘inconsistent’ fiscal rules ," Minister says there is perception bigger countries are afforded greater flexibility   
            "
707,Economic growth,2016-11-07,"Economic impact for us after Brexit will be ‘severe’, warns report "," Cost of a ‘hard Brexit’ to Ireland in some areas may be even worse than in UK   
            "
708,Economic growth,2016-11-07,Brexit effect expected to shrink economy by nearly 4% ," Department of Finance and top State agency forecasts ‘severe’ long-term consequences   
            "
709,Economic growth,2016-11-03,The unintended consequences of Draghi’s QE," Deutsche analyst worries safety net is taking pressure off states to drive growth   
            "
710,Economic growth,2016-11-02,Unemployment hits another post-crash low of 7.7%," Latest official figures also show youth unemployment has fallen to 15.1%    
            "
711,Economic growth,2016-11-02,UK services trade with EU set to fall 60% after Brexit - think tank," NIESR says trade in goods likely to decline by up to 44 per cent after article 50 activated   
            "
712,Economic growth,2016-11-01,Irish businesses and households confident despite Brexit risks," Economic confidence steady  as weak pound begins to affect Irish businesses   
            "
713,Economic growth,2016-10-31,Euro zone third-quarter economic growth steady as expected," GDP in 19 countries   unchanged at 0.3%  and  inflation   up  as energy prices decline slows    
            "
714,Economic growth,2016-10-30,EU signs free trade deal with Canada but hurdles remain," Full implementation of deal that could boost trade by 20% rests with national parliaments   
            "
715,Economic growth,2016-10-28,Philip Lane plays down  post-Brexit regulation fears," Central Bank governor said no ‘hardcore decisions’ yet from London entities looking to  relocate to Dublin   
            "
716,Economic growth,2016-10-28,John FitzGerald: Public pay ‘restoration’ must be  gradual ,"  State must be wary of again widening pay gap between public and private-sector workers    
            "
717,Economic growth,2016-10-20,Euro slumps as ECB signals gradual end to quantitative easing," Mario Draghi  speaks in wake of  decision to keep main lending rate unchanged   
            "
718,Economic growth,2016-10-19,"Brexit means a slow squeeze, not a big hit"," Underlying signs point to higher unemployment and a slowdown in hiring   
            "
719,Economic growth,2016-10-19,Chinese economy grows 6.7% as construction sector booms ," Debt and fears of property bubble rise as cities introduce measures to cool markets   
            "
720,Economic growth,2016-10-17,Nine things you need to know about a ‘hard Brexit’," Investors’ concern about a ‘hard Brexit’ has sent the pound to a three-decade low – but how does it differ from a “soft” option?   
            "
721,Economic growth,2016-10-16,"The harder the Brexit, the worse it is for Ireland"," Price of sterling, trade deals and migration rules could have serious ramifications   
            "
722,Economic growth,2016-10-14,Mushroom sector crisis exposes flaws in Irish response to  Brexit," Collapse in value of sterling has wiped out profit margins of producers selling into UK   
            "
723,Economic growth,2016-10-14,John FitzGerald: Budget   adds fuel to fast-growing economy," First-time buyers’ tax refund will result in increased house prices at cost of €50 million   
            "
724,Economic growth,2016-10-12,Budget 2017: the measures designed to soften blow of Brexit," Tax relief for small businesses and  exporters, a farmer loan fund and retention of 9% Vat    
            "
725,Economic growth,2016-10-11,Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
726,Economic growth,2016-10-11,Budget 2017: Full text of Paschal Donohoe’s speech," Minister for Public Expenditure and Reform outlines Government’s spending plans    
            "
727,Economic growth,2016-10-11,Budget 2017: Full text of Michael Noonan’s speech," Read about all the measures announced by Minister for Finance in Dáil today    
            "
728,Economic growth,2016-10-09,Lane warns of Brexit-related volatility as sterling slumps ," Central Bank governor says harder versions of Brexit will result in more   revisions to economic growth   
            "
729,Economic growth,2016-10-07,John FitzGerald: Populism set to trump bravery  in Budget 2017," Intensive lobbying means short-term moves  eclipse daring options to reallocate funding   
            "
730,Economic growth,2016-10-07,Budget 2017: the crunch points,"   Next week’s budget will be no giveaway and is likely to leave the public distinctly underwhelmed 
            "
731,Economic growth,2016-10-06,Chris Johns: Theresa May joins ranks of delusional Brexiteers ," Brexit negotiations currently amount to a discussion held by the Tory party with itself   
            "
732,Economic growth,2016-10-05,IMF alarmism mistaken but UK’s prospects not rosy," London Briefing: In May the IMF predicted a vote to leave the EU would precipitate a UK stock market crash   
            "
733,Economic growth,2016-10-04,IMF downgrades growth forecast for Irish economy ," Fund says Irish economy will grow 4.9 per cent  in 2016 and 3.2 per cent in 2017    
            "
