P_ID,Name_Pestal,Date_Pestel,Headline_Pestel,Description_Pestel
2296,government+policy,2016-03-02,"Business wants stability, but who knows now what it will get?"," Lack of transparency about market turmoil unsettles international investors   
            "
2297,government+policy,2016-03-02,Cantillon: Gushing European Commission report comes too late for voters ," Of  four main parties in #ge16, Labour is only one that gets close to indexation   
            "
2298,Political+stability,2016-03-02,NI political standoff ‘holding back construction’," If Greece left it would guarantee default and generate permanent instability for  euro zone    
            "
2299,Economic growth,2016-03-02,Moody’s cuts outlook on China government credit to ‘negative’," Ratings agency cites pressure to reform and growing state debt burden   
            "
2300,Economic growth,2016-03-02,ECB chief  Mario Draghi set to act after poor economic data,"   ECB under pressure to take  radical action after disappointing manufacturing figures  
            "
2301,Economic growth,2016-03-02,Moody’s stays low-key after general election," Result of vote unlikely to cause big change in Irish fiscal policy, says ratings agency   
            "
2302,Interest rates,2016-03-02,Moody’s stays low-key after general election," Result of vote unlikely to cause big change in Irish fiscal policy, says ratings agency   
            "
2303,level+of+innovation,2016-03-02,Moody’s cuts outlook on China government credit to ‘negative’," Ratings agency cites pressure to reform and growing state debt burden   
            "
2304,Inflation rates,2016-03-03,"UK house price inflation hits 10-month high, survey finds"," Average UK house price stood at £196,930 last month — 4.8 per cent higher than  year earlier   
            "
2305,government+policy,2016-03-04,Markets  unfazed by uncertainty over government," Populism makes position facing any minority government more problematic    
            "
2306,government+policy,2016-03-04,Overheating Irish economy would need urgent remedial action  ," Praise for Ireland’s ‘remarkable’ rebound tempered by concern over tax, health and spending    
            "
2307,government+policy,2016-03-04,State borrowing costs may be forced up," Boris Johnson’s intervention in Brexit debate prompted selling of Irish debt   
            "
2308,Political+stability,2016-03-04,"ECB to stay put, keep door open for more stimulus"," Clash between Germany and France is about Greece but also  about who is  in charge
            "
2309,Economic growth,2016-03-04,"US job numbers increased by 242,000 last month"," Employment data reinforces economy’s strength, easing fears of recession   
            "
2310,Economic growth,2016-03-04,Can we have business as usual in Ireland’s ruptured political landscape?," Will the potential for political instability affect investor and consumer confidence?   
            "
2311,Economic growth,2016-03-04,There should be no time for anything that could hurt recovery," Splintering of   Dáil demands  clear-headed assessment of what happens next   
            "
2312,Interest rates,2016-03-04,"US job numbers increased by 242,000 last month"," Employment data reinforces economy’s strength, easing fears of recession   
            "
2313,Interest rates,2016-03-04,Can we have business as usual in Ireland’s ruptured political landscape?," Will the potential for political instability affect investor and consumer confidence?   
            "
2314,Inflation rates,2016-03-04,"US job numbers increased by 242,000 last month"," Employment data reinforces economy’s strength, easing fears of recession   
            "
2315,Unemployment rates,2016-03-04,"US job numbers increased by 242,000 last month"," Employment data reinforces economy’s strength, easing fears of recession   
            "
2316,Population+growth+rate,2016-03-04,"US job numbers increased by 242,000 last month"," Employment data reinforces economy’s strength, easing fears of recession   
            "
2317,government+policy,2016-03-05,Moody’s stays low-key after general election," FG and FF alignment seems to be the ‘only’ option, says Goodbody economist   
            "
2318,foreign+trade+policy,2016-03-05,Stability or openness: can China now manage both?,"   Mining and  tourism present opportunities, but many will resist the ailing economy and 51%   indigenisation law 
            "
2319,Economic growth,2016-03-05,More and more jobs but incomes not budging," Figures from the Central Statistics Office  show hourly earnings down 0.4 per cent    
            "
2320,Interest rates,2016-03-05,Argentina debt deal opens door  to return to markets," President Macri secures €4.3bn agreement with creditors – but still faces local hurdles    
            "
2321,Inflation rates,2016-03-05,Argentina debt deal opens door  to return to markets," President Macri secures €4.3bn agreement with creditors – but still faces local hurdles    
            "
2322,Unemployment rates,2016-03-05,More and more jobs but incomes not budging," Figures from the Central Statistics Office  show hourly earnings down 0.4 per cent    
            "
2323,Unemployment rates,2016-03-05,Argentina debt deal opens door  to return to markets," President Macri secures €4.3bn agreement with creditors – but still faces local hurdles    
            "
2324,Economic growth,2016-03-07,New housing construction increases but market still ‘depressed’," Report finds number of construction notices for new housing reached 8,000 in 2015   
            "
2325,government+policy,2016-03-08,Tax receipts come in ahead of target ," After four years of buoyant growth it is important to consider whether the economy is expanding beyond its potential   
            "
2326,foreign+trade+policy,2016-03-08,Paul Krugman: Persistent global weakness is the new normal," State now pays higher interest on overpaid corporate taxes than banks do on deposits   
            "
2327,Economic growth,2016-03-08,German industrial production jumps to six-year high," Latest numbers show strong demand underpinning output   
            "
2328,Economic growth,2016-03-08,"Trump and Romney, a dialogue of the daft"," The nearest thing the Republican’s came to an economic debate and it was still absolute nonsense   
            "
2329,Economic growth,2016-03-08,"Germany will resist ECB  rate plans, says expert"," Economist Isabel Schnabel warns there should be no more loosening of monetary policy   
            "
2330,Exchange rates,2016-03-08,"Trump and Romney, a dialogue of the daft"," The nearest thing the Republican’s came to an economic debate and it was still absolute nonsense   
            "
2331,Interest rates,2016-03-08,"Trump and Romney, a dialogue of the daft"," The nearest thing the Republican’s came to an economic debate and it was still absolute nonsense   
            "
2332,Interest rates,2016-03-08,"Germany will resist ECB  rate plans, says expert"," Economist Isabel Schnabel warns there should be no more loosening of monetary policy   
            "
2333,Inflation rates,2016-03-08,"Germany will resist ECB  rate plans, says expert"," Economist Isabel Schnabel warns there should be no more loosening of monetary policy   
            "
2334,Research+development,2016-03-08,John FitzGerald: Learning from Britain’s housing crisis ," Addressing housing  in Ireland can be helped by looking at good and bad policies in the UK    
            "
2335,weather,2016-03-08,German industrial production jumps to six-year high," Latest numbers show strong demand underpinning output   
            "
2336,foreign+trade+policy,2016-03-09,Citigroup  sounds alarm bells over world economy," China has a short window of opportunity to build the infrastructure it needs   
            "
2337,Economic growth,2016-03-09,"Uncertainty over Brexit now   affecting UK  growth, report finds"," Davy research note suggests sterling could fall below $1.35 in event of a vote to leave   
            "
2338,government+policy,2016-03-10,Can we have business as usual in Ireland’s ruptured political landscape?," Result of vote unlikely to cause big change in Irish fiscal policy, says ratings agency   
            "
2339,government+policy,2016-03-10,There should be no time for anything that could hurt recovery," Cost of State borrowing eases as Fitch says it expects further deficit reductions   
            "
2340,Political+stability,2016-03-10,Looming election will trigger market focus on Irish economic policy ," At 22.4%, the rate is just below the level  when prime minister Mariano Rajoy took office   
            "
2341,foreign+trade+policy,2016-03-10,Martin Wolf: ‘Made in China’ recession perfectly plausible," Increased investment in skills, infrastructure and innovation key to sustaining prosperity   
            "
2342,Economic growth,2016-03-10,Dáil ambles as Draghi prepares bazooka," Political leaders would do well to keep one eye on shaky global economy   
            "
2343,Interest rates,2016-03-10,Dáil ambles as Draghi prepares bazooka," Political leaders would do well to keep one eye on shaky global economy   
            "
2344,Interest rates,2016-03-10, ECB cuts main interest rate to zero in surprise move as part of major effort to boost euro zone ," Tracker mortgage holders to benefit, markets stunned   
            "
2345,Interest rates,2016-03-10,NTMA raises funds at record low rate," Agency has auctioned €500m in treasury bills at -0.22%   
            "
2346,Interest rates,2016-03-10,Cantillon:  Rates expected to stay low for foreseeable future," Markets suggest there is simply no prospect of ECB starting to raise rates any time soon   
            "
2347,Inflation rates,2016-03-10,Dáil ambles as Draghi prepares bazooka," Political leaders would do well to keep one eye on shaky global economy   
            "
2348,Inflation rates,2016-03-10,Cantillon:  Rates expected to stay low for foreseeable future," Markets suggest there is simply no prospect of ECB starting to raise rates any time soon   
            "
2349,Research+development,2016-03-10,Property trends may lead to ‘unsustainable’ commutes - ESRI," New report warns  prices could force Dublin buyers to seek housing beyond the city   
            "
2350,Economic growth,2016-03-11,Ratings agency DBRS upgrades Ireland’s rating to A (high)," Outlook for public debt sustainability in Ireland ‘has materially improved’   
            "
2351,Economic growth,2016-03-11,ECB cuts rates in far-reaching stimulus campaign ,"   Draghi aims to spur growth and inflation in euro zone and avert threat of deflation 
            "
2352,Economic growth,2016-03-11,Fast-expanding economy regains growth rates," Data shows Ireland’s growth of 7.8 % as ECB’s Mario Draghi reduces interest rate to zero   
            "
2353,Interest rates,2016-03-11,Euro zone bond markets stabilise after ECB rate blow," Two-year German bond yields  on course for the biggest weekly rise since early December   
            "
2354,Interest rates,2016-03-11,ECB cuts rates in far-reaching stimulus campaign ,"   Draghi aims to spur growth and inflation in euro zone and avert threat of deflation 
            "
2355,Interest rates,2016-03-11,Fast-expanding economy regains growth rates," Data shows Ireland’s growth of 7.8 % as ECB’s Mario Draghi reduces interest rate to zero   
            "
2356,Inflation rates,2016-03-11,Euro zone bond markets stabilise after ECB rate blow," Two-year German bond yields  on course for the biggest weekly rise since early December   
            "
2357,Inflation rates,2016-03-11,ECB cuts rates in far-reaching stimulus campaign ,"   Draghi aims to spur growth and inflation in euro zone and avert threat of deflation 
            "
2358,Economic growth,2016-03-12,Economics: Fresh notes of optimism play to a gloomy chorus," Low inflation has been around for so long  most analysts now assume it is permanent   
            "
2359,Interest rates,2016-03-12,Economics: Fresh notes of optimism play to a gloomy chorus," Low inflation has been around for so long  most analysts now assume it is permanent   
            "
2360,Inflation rates,2016-03-12,Economics: Fresh notes of optimism play to a gloomy chorus," Low inflation has been around for so long  most analysts now assume it is permanent   
            "
2361,Unemployment rates,2016-03-12,Economics: Fresh notes of optimism play to a gloomy chorus," Low inflation has been around for so long  most analysts now assume it is permanent   
            "
2362,Economic growth,2016-03-14,Brexit threat makes forming a government all the more urgent," Ireland cannot sit on the sidelines during debate and aftermath of potential No vote
            "
2363,government+policy,2016-03-15,"US job numbers increased by 242,000 last month"," Exchequer returns show that Revenue collected €7.2bn by the end of February    
            "
2364,Economic growth,2016-03-15,Nevin Institute: Unemployment to fall below 8% next year," Quarterly economic observer forecasts GDP growth of 4.4% in 2016   
            "
2365,Economic growth,2016-03-15,Cantillon: Mario’s medicine may be kicking in ," Euro zone industrial production figures suggest  quantitative easing  is  paying off   
            "
2366,Exchange rates,2016-03-15,Nevin Institute: Unemployment to fall below 8% next year," Quarterly economic observer forecasts GDP growth of 4.4% in 2016   
            "
2367,Interest rates,2016-03-15,Nevin Institute: Unemployment to fall below 8% next year," Quarterly economic observer forecasts GDP growth of 4.4% in 2016   
            "
2368,Interest rates,2016-03-15,Cantillon: Mario’s medicine may be kicking in ," Euro zone industrial production figures suggest  quantitative easing  is  paying off   
            "
2369,Inflation rates,2016-03-15,Cantillon: Mario’s medicine may be kicking in ," Euro zone industrial production figures suggest  quantitative easing  is  paying off   
            "
2370,Unemployment rates,2016-03-15,Nevin Institute: Unemployment to fall below 8% next year," Quarterly economic observer forecasts GDP growth of 4.4% in 2016   
            "
2371,Research+development,2016-03-15,National accounts skewed by foreign-owned firms and spurious R&D," With real  growth  running at 5%  a major expansion in investment is needed soon    
            "
2372,technological+change,2016-03-15,"Nightclub charges out, Baileys and Nespresso in: UK CPI figures reflect modern life "," Instead of tripping the night fantastic, Britons are sitting in front of their computers  sipping Baileys   
            "
2373,Economic growth,2016-03-16,Economic fears prompt Fed to slow pace of rate hikes," US central bank now expects two rises this year, down from four   
            "
2374,Economic growth,2016-03-16,UK budget: 10 things likely to happen ," Chancellor needs to show he still has grip on the economy, has not lost control of public finances and can please Conservative backbenchers to maintain his reputation and support   
            "
2375,Economic growth,2016-03-16,What to watch out for when the Fed meets," Steady stream of sturdy economic data and recovery in financial markets have bolstered the arguments of  policymakers who favour interest rate rises later this year   
            "
2376,Interest rates,2016-03-16,Economic fears prompt Fed to slow pace of rate hikes," US central bank now expects two rises this year, down from four   
            "
2377,Interest rates,2016-03-16,UK budget: 10 things likely to happen ," Chancellor needs to show he still has grip on the economy, has not lost control of public finances and can please Conservative backbenchers to maintain his reputation and support   
            "
2378,Interest rates,2016-03-16,What to watch out for when the Fed meets," Steady stream of sturdy economic data and recovery in financial markets have bolstered the arguments of  policymakers who favour interest rate rises later this year   
            "
2379,Inflation rates,2016-03-16,Economic fears prompt Fed to slow pace of rate hikes," US central bank now expects two rises this year, down from four   
            "
2380,Inflation rates,2016-03-16,UK budget: 10 things likely to happen ," Chancellor needs to show he still has grip on the economy, has not lost control of public finances and can please Conservative backbenchers to maintain his reputation and support   
            "
2381,Inflation rates,2016-03-16,What to watch out for when the Fed meets," Steady stream of sturdy economic data and recovery in financial markets have bolstered the arguments of  policymakers who favour interest rate rises later this year   
            "
2382,Unemployment rates,2016-03-16,UK budget: 10 things likely to happen ," Chancellor needs to show he still has grip on the economy, has not lost control of public finances and can please Conservative backbenchers to maintain his reputation and support   
            "
2383,Unemployment rates,2016-03-16,What to watch out for when the Fed meets," Steady stream of sturdy economic data and recovery in financial markets have bolstered the arguments of  policymakers who favour interest rate rises later this year   
            "
2384,climate,2016-03-16,What to watch out for when the Fed meets," Steady stream of sturdy economic data and recovery in financial markets have bolstered the arguments of  policymakers who favour interest rate rises later this year   
            "
2385,Political+stability,2016-03-17,Lending curbs make property bubble impossible – Honohan ," The real test of the Communist Party’s popularity may have arrived as economy slows   
            "
2386,foreign+trade+policy,2016-03-17,Analysis:  What does the Fed decision mean?," Currency intervention seen as attempt to stimulate exports and boost stalling growth   
            "
2387,Economic growth,2016-03-17,British chancellor George Osborne is in traps of his own devising," Steady reduction in corporation tax suggests government is trying to turn  UK into Ireland   
            "
2388,Economic growth,2016-03-17,IMF warns about global slowdown threat to Ireland," Fund lukewarm on Central Bank’s readiness  to relax mortgage lending restrictions   
            "
2389,Economic growth,2016-03-17,Janet Yellen is in no great rush to hike up rates," Fed’s sense of caution is in keeping with strict guidance issued in December    
            "
2390,Economic growth,2016-03-17,Fed scales back rate-rise forecasts amid global risks ," Janet Yellen says caution would help verify the jobs market is strengthening   
            "
2391,Interest rates,2016-03-17,British chancellor George Osborne is in traps of his own devising," Steady reduction in corporation tax suggests government is trying to turn  UK into Ireland   
            "
2392,Interest rates,2016-03-17,IMF warns about global slowdown threat to Ireland," Fund lukewarm on Central Bank’s readiness  to relax mortgage lending restrictions   
            "
2393,Interest rates,2016-03-17,Janet Yellen is in no great rush to hike up rates," Fed’s sense of caution is in keeping with strict guidance issued in December    
            "
2394,Interest rates,2016-03-17,Fed scales back rate-rise forecasts amid global risks ," Janet Yellen says caution would help verify the jobs market is strengthening   
            "
2395,Inflation rates,2016-03-17,IMF warns about global slowdown threat to Ireland," Fund lukewarm on Central Bank’s readiness  to relax mortgage lending restrictions   
            "
2396,Inflation rates,2016-03-17,Janet Yellen is in no great rush to hike up rates," Fed’s sense of caution is in keeping with strict guidance issued in December    
            "
2397,Inflation rates,2016-03-17,Fed scales back rate-rise forecasts amid global risks ," Janet Yellen says caution would help verify the jobs market is strengthening   
            "
2398,Unemployment rates,2016-03-17,IMF warns about global slowdown threat to Ireland," Fund lukewarm on Central Bank’s readiness  to relax mortgage lending restrictions   
            "
2399,Unemployment rates,2016-03-17,Janet Yellen is in no great rush to hike up rates," Fed’s sense of caution is in keeping with strict guidance issued in December    
            "
2400,climate,2016-03-17,British chancellor George Osborne is in traps of his own devising," Steady reduction in corporation tax suggests government is trying to turn  UK into Ireland   
            "
2401,climate+change,2016-03-17,British chancellor George Osborne is in traps of his own devising," Steady reduction in corporation tax suggests government is trying to turn  UK into Ireland   
            "
2402,Exchange rates,2016-03-18,ECB’s Praet says there is still scope for lower interest rates," Europe’s shared currency weakened against most of its 16 major peers on Friday    
            "
2403,Interest rates,2016-03-18,ECB’s Praet says there is still scope for lower interest rates," Europe’s shared currency weakened against most of its 16 major peers on Friday    
            "
2404,Economic growth,2016-03-21,Why scrimping on trade missions a false economy," Trips can generate immediate financial return and set a foundation for  export growth   
            "
2405,Interest rates,2016-03-21,Be on your guard when Mario Draghi drops hints," Investors should be wary of what central bankers appear to be saying or signalling   
            "
2406,Inflation rates,2016-03-21,Be on your guard when Mario Draghi drops hints," Investors should be wary of what central bankers appear to be saying or signalling   
            "
2407,Economic growth,2016-03-22,Worst market fears ease but mood remains uncertain ," It would be a brave forecaster who would call it from here given  the potential flashpoints     
            "
2408,Interest rates,2016-03-22,Worst market fears ease but mood remains uncertain ," It would be a brave forecaster who would call it from here given  the potential flashpoints     
            "
2409,Political+stability,2016-03-23,China raps state-owned firms for lack of party loyalty," What is needed is not more finance, but better finance   
            "
2410,Economic growth,2016-03-23,NI manufacturing expected to benefit from strong growth in Republic," Report on sector suggests it will experience   fastest manufacturing growth in  UK   
            "
2411,Economic growth,2016-03-23,Martin Wolf: What China does next is of utmost importance," It is hard to believe that an innovative and outward-looking China can be contained indefinitely within the straitjacket of an all-powerful party-state   
            "
2412,Research+development,2016-03-23,Martin Wolf: What China does next is of utmost importance," It is hard to believe that an innovative and outward-looking China can be contained indefinitely within the straitjacket of an all-powerful party-state   
            "
2413,Economic growth,2016-03-24,German consumer morale edges down going into April," Shoppers felt less upbeat about the future of economy, survey shows   
            "
2414,Interest rates,2016-03-24,US durable goods orders fall as dollar strength weighs," Jobless figures show rise in number of people filing for unemployment   
            "
2415,Interest rates,2016-03-24,German consumer morale edges down going into April," Shoppers felt less upbeat about the future of economy, survey shows   
            "
2416,Inflation rates,2016-03-24,German consumer morale edges down going into April," Shoppers felt less upbeat about the future of economy, survey shows   
            "
2417,Unemployment rates,2016-03-24,US durable goods orders fall as dollar strength weighs," Jobless figures show rise in number of people filing for unemployment   
            "
2418,Economic growth,2016-03-25,Brexit would hit Ireland almost as hard as UK - research," ING has found that Britain leaving the EU could knock 1.1 percentage points off Irish GDP   
            "
2419,Economic growth,2016-03-25,US fourth-quarter GDP growth revised up; profits dive," GDP increased at a 1.4% annual rate instead of  the previously reported 1% pace   
            "
2420,Economic growth,2016-03-25,"Japan consumer inflation flat, keeps BOJ under pressure"," Core CPI fell 0.3% in year to March, the first time it dropped by as much since April 2013    
            "
2421,Interest rates,2016-03-25,US fourth-quarter GDP growth revised up; profits dive," GDP increased at a 1.4% annual rate instead of  the previously reported 1% pace   
            "
2422,Interest rates,2016-03-25,"Japan consumer inflation flat, keeps BOJ under pressure"," Core CPI fell 0.3% in year to March, the first time it dropped by as much since April 2013    
            "
2423,Inflation rates,2016-03-25,US fourth-quarter GDP growth revised up; profits dive," GDP increased at a 1.4% annual rate instead of  the previously reported 1% pace   
            "
2424,Inflation rates,2016-03-25,"Japan consumer inflation flat, keeps BOJ under pressure"," Core CPI fell 0.3% in year to March, the first time it dropped by as much since April 2013    
            "
2425,Political+stability,2016-03-28,Smart money is on  caution as economy grows,"   Ibec chief Danny McCoy calls on politicians to embrace ambitious economic plans 
            "
2426,foreign+trade+policy,2016-03-29,German business morale shrugs off VW scandal," The real test of the Communist Party’s popularity may have arrived as economy slows   
            "
2427,Economic growth,2016-03-29,"Yellen says Fed should proceed ""cautiously"" given global risks"," Federal Reserve Chair said she still expected headwinds from weak growth outside US, low oil prices and uncertainty over China would abate   
            "
2428,Economic growth,2016-03-29,Martin Wolf: China’s future challenge for the world economy," The country is systemically important and suffers high and rising corporate indebtedness    
            "
2429,Economic growth,2016-03-29,John FitzGerald: NTMA actions  a lesson in facing economic crises," Borrowing strategy of  agency before and after bailout gave Ireland a valuable cushion    
            "
2430,Economic growth,2016-03-29,Ibec warns of threats to Irish economic growth," Brexit possibility creating competitiveness risk for Irish exporters, says lobby group
            "
2431,Exchange rates,2016-03-29,Martin Wolf: China’s future challenge for the world economy," The country is systemically important and suffers high and rising corporate indebtedness    
            "
2432,Interest rates,2016-03-29,"Yellen says Fed should proceed ""cautiously"" given global risks"," Federal Reserve Chair said she still expected headwinds from weak growth outside US, low oil prices and uncertainty over China would abate   
            "
2433,Interest rates,2016-03-29,John FitzGerald: NTMA actions  a lesson in facing economic crises," Borrowing strategy of  agency before and after bailout gave Ireland a valuable cushion    
            "
2434,Inflation rates,2016-03-29,"Yellen says Fed should proceed ""cautiously"" given global risks"," Federal Reserve Chair said she still expected headwinds from weak growth outside US, low oil prices and uncertainty over China would abate   
            "
2435,Exchange rates,2016-03-30,Dollar slides as Janet Yellen admits concern about risks,"   Head of the Federal Reserve sets cautious tone at the Economic Club of New York 
            "
2436,Inflation rates,2016-03-30,Dollar slides as Janet Yellen admits concern about risks,"   Head of the Federal Reserve sets cautious tone at the Economic Club of New York 
            "
2437,Economic growth,2016-03-31,Euro zone inflation stays negative in March but ‘core’ prices rise," Inflation tick-up is the latest in a string of slightly positive data for the  currency bloc    
            "
2438,Inflation rates,2016-03-31,Euro zone inflation stays negative in March but ‘core’ prices rise," Inflation tick-up is the latest in a string of slightly positive data for the  currency bloc    
            "
2439,Unemployment rates,2016-03-31,Euro zone inflation stays negative in March but ‘core’ prices rise," Inflation tick-up is the latest in a string of slightly positive data for the  currency bloc    
            "
2440,Economic growth,2016-04-01,US maintains solid jobs growth with wage rises beating forecasts," Increase in  jobless rate  backs  Federal Reserve’s caution on   economy   
            "
2441,Economic growth,2016-04-01,Central Bank revises 2016 growth upwards," Regulator says strong growth in domestic demand will push GDP growth up to 5.1% this year   
            "
2442,Inflation rates,2016-04-01,Argentina shows why an Irish default would have been folly," New settlement is  centrepiece of  plan by   Macri to revive the country’s economy   
            "
2443,Economic growth,2016-04-02,Central Bank says mortgage lending rules are here to stay," Review of regulations will not lead to their abolition, says chief econimist
            "
2444,Interest rates,2016-04-02,NTMA to  to  hold bond auctions this month and next," Agency to take advantage of historically low market interest rates to hold   auctions   
            "
2445,government+policy,2016-04-03,Panama Papers: The secret offshore world of the elite," Millions of documents show heads of state, criminals and celebrities using secret hideaways in tax havens   
            "
2446,Political+stability,2016-04-03,Brazil’s 2016 budget intensifies fear of financial crisis," President Vladimir Putin of Russia has denounced the Fifa arrests as yet another example of the abuse of US power   
            "
2447,Exchange rates,2016-04-03,Panama Papers: Iceland’s prime minister had offshore holdings in collapsed banks ," Politician came to power after country’s financial collapse while hiding  offshore holdings of millions in bonds from Icelandic banks   
            "
2448,Economic growth,2016-04-06,Mortgage-holders have lost €17.6bn in ‘wealth’ since property crash - S&P," New report finds loans from 2007 have 59% rate of negative equity   
            "
2449,Disposable income,2016-04-06,Mortgage-holders have lost €17.6bn in ‘wealth’ since property crash - S&P," New report finds loans from 2007 have 59% rate of negative equity   
            "
2450,Research+development,2016-04-06,Mortgage-holders have lost €17.6bn in ‘wealth’ since property crash - S&P," New report finds loans from 2007 have 59% rate of negative equity   
            "
2451,Interest rates,2016-04-07,US policymakers warn of risks to economy," Divided body of Fed officials debated how soon to further increase short-term interest rates   
            "
2452,Interest rates,2016-04-08,Collapse of Pfizer-Allergan deal will be mourned by few," Except for the firms involved, few in the US or Ireland benefit from inversion deals   
            "
2453,Economic growth,2016-04-12,IMF warns Brexit could deal damaging blow to global economy," Fund  trims euro zone growth outlook, keeps spotlight on ECB   
            "
2454,Economic growth,2016-04-12,IMF expected to cut growth forecasts in latest outlook,"  Christine Lagarde warns global economy has lost momentum and recovery too slow   
            "
2455,Interest rates,2016-04-12,IMF warns Brexit could deal damaging blow to global economy," Fund  trims euro zone growth outlook, keeps spotlight on ECB   
            "
2456,Interest rates,2016-04-12,IMF expected to cut growth forecasts in latest outlook,"  Christine Lagarde warns global economy has lost momentum and recovery too slow   
            "
2457,Inflation rates,2016-04-12,IMF warns Brexit could deal damaging blow to global economy," Fund  trims euro zone growth outlook, keeps spotlight on ECB   
            "
2458,Unemployment rates,2016-04-12,IMF warns Brexit could deal damaging blow to global economy," Fund  trims euro zone growth outlook, keeps spotlight on ECB   
            "
2459,government+policy,2016-04-14,Ireland among 13 states that may oppose EU-Mercosur trade deal," States do not want EU opened to Argentinian and Brazilian farm products   
            "
2460,government+policy,2016-04-15,China first-quarter economic growth slowest since 2009 ," GDP expanded 6.7% in first three months of the year to  15.9 trillion yuan (€2.18 trillion)   
            "
2461,Economic growth,2016-04-15,"Central Bank failed to act on property lending alert, court hears "," Former chief economist says ‘senior people within the Bank simply did not wish to know about the problems or, if they did know, they did not wish to do anything about them’   
            "
2462,Economic growth,2016-04-15,China first-quarter economic growth slowest since 2009 ," GDP expanded 6.7% in first three months of the year to  15.9 trillion yuan (€2.18 trillion)   
            "
2463,Interest rates,2016-04-15,China first-quarter economic growth slowest since 2009 ," GDP expanded 6.7% in first three months of the year to  15.9 trillion yuan (€2.18 trillion)   
            "
2464,Research+development,2016-04-15,China first-quarter economic growth slowest since 2009 ," GDP expanded 6.7% in first three months of the year to  15.9 trillion yuan (€2.18 trillion)   
            "
2465,government+policy,2016-04-16,Turkey’s economy is booming despite dark shadow of volatility ," Attacks, war and a boycott by Russia have failed to curb trade, consumption and growth    
            "
2466,foreign+trade+policy,2016-04-16,Testing times ahead for nascent economic recovery," Investors remain jittery, with good reason   
            "
2467,Economic growth,2016-04-16,Turkey’s economy is booming despite dark shadow of volatility ," Attacks, war and a boycott by Russia have failed to curb trade, consumption and growth    
            "
2468,government+policy,2016-04-18,German stance on ECB shows European ideal is defunct," There is a reason why this is happening - not a good one, but a powerful one. Money.   
            "
2469,Political+stability,2016-04-18,Fed’s next task will be to deal with balance sheet," Surveyors’ research highlights fall in public works   
            "
2470,Economic growth,2016-04-18,Hiring slows at British firms ahead of Brexit vote in June," Uncertainty causes  companies to put business on hold and high-end house prices to fall   
            "
2471,Interest rates,2016-04-18,German stance on ECB shows European ideal is defunct," There is a reason why this is happening - not a good one, but a powerful one. Money.   
            "
2472,climate,2016-04-18,German stance on ECB shows European ideal is defunct," There is a reason why this is happening - not a good one, but a powerful one. Money.   
            "
2473,climate+change,2016-04-18,German stance on ECB shows European ideal is defunct," There is a reason why this is happening - not a good one, but a powerful one. Money.   
            "
2474,government+policy,2016-04-19,Special Irish trade deal ‘impossible’ after  Brexit," British work and pensions secretary Stephen Crabb warns of likely trade barriers    
            "
2475,Economic growth,2016-04-19,Brexit could ratchet up  pressure on Dublin housing market," Loss of 10,000 financial sector jobs in London may mean firms move in search of EU ‘asylum’    
            "
2476,Economic growth,2016-04-19,In a world of negative rates borrowers get paid and savers penalised," It’s an  upside-down world of modern monetary policy but experts say it’s here to stay   
            "
2477,Interest rates,2016-04-19,Paul Krugman: Monopoly capitalism is killing US economy," We aren’t just living in a second Gilded Age, we’re also living in a second robber baron era   
            "
2478,Interest rates,2016-04-19,In a world of negative rates borrowers get paid and savers penalised," It’s an  upside-down world of modern monetary policy but experts say it’s here to stay   
            "
2479,Interest rates,2016-04-19,Cantillon: NTMA’s low-key €7.3bn bond repayment ," The biggest bond repayment since 2014 passed with barely a raised eyebrow   
            "
2480,Inflation rates,2016-04-19,In a world of negative rates borrowers get paid and savers penalised," It’s an  upside-down world of modern monetary policy but experts say it’s here to stay   
            "
2481,Inflation rates,2016-04-19,Cantillon: NTMA’s low-key €7.3bn bond repayment ," The biggest bond repayment since 2014 passed with barely a raised eyebrow   
            "
2482,climate,2016-04-19,Argentina makes triumphant return to bond markets with $16.5bn deal," Market pariah returns to market with one of the largest order books ever seen for an emerging markets bond    
            "
2483,climate,2016-04-19,Brexit could ratchet up  pressure on Dublin housing market," Loss of 10,000 financial sector jobs in London may mean firms move in search of EU ‘asylum’    
            "
2484,climate+change,2016-04-19,Brexit could ratchet up  pressure on Dublin housing market," Loss of 10,000 financial sector jobs in London may mean firms move in search of EU ‘asylum’    
            "
2485,Economic growth,2016-04-20,Martin Wolf: Our friends think Brexit is a mad idea," Barack Obama needs to tell the British, nicely but firmly, that they have to stay in the EU   
            "
2486,Economic growth,2016-04-21,Draghi to mount defence of ECB in face of German criticism," European Central Bank is widely tipped to hold interest rates as ‘ECB bashing’ in focus   
            "
2487,Economic growth,2016-04-21,Cantillon: Sobering jolt from the real economy," National Competitiveness Council cautions on escalating costs in myriad of sectors   
            "
2488,Economic growth,2016-04-21,Irish business borrowers paying 80% more for loans,"   Competitiveness council warns of major risks from dysfunctional property market  
            "
2489,Interest rates,2016-04-21,Draghi to mount defence of ECB in face of German criticism," European Central Bank is widely tipped to hold interest rates as ‘ECB bashing’ in focus   
            "
2490,Inflation rates,2016-04-21,Draghi to mount defence of ECB in face of German criticism," European Central Bank is widely tipped to hold interest rates as ‘ECB bashing’ in focus   
            "
2491,government+policy,2016-04-22,Rising swell of  apprehension as political drift  continues ," Bickering over the next government brings concerns that  lack of a deal could end badly   
            "
