News_ID,CompanyName_News,Date_News,Headline_News,Description_News
340,AIB,2018-07-18,Husband-and-wife design team pair talent with enthusiasm ," New Traders: Mortar & More
"
341,AIB,2018-07-17,"Jerome Powell optimism buoys US, European shares"," Ireland underperforms European peers although Ryanair recovers ground
"
342,AIB,2018-07-16,Oil price drop puts pressure on energy shares as financials rally," Energy sector proves biggest drag as crude prices falls sharply as supply concerns ease
"
343,AIB,2018-07-13,US shares edge near five-month high but financials disappoint," Little volume on Irish exchange with benchmark index up 0.38 per cent
"
344,AIB,2018-07-13,State should sell its bank shares to tackle housing crisis," Vincent Boland: Despite NTMA advice, proceeds should not be used to pay down debt
"
345,AIB,2018-07-11,Credit growth to disproportionately benefit Bank of Ireland - Goldman Sachs," US investment bank upgraded BoI to a ‘buy’ rating from ‘neutral’
"
346,AIB,2018-07-10,UK political bickering fails to dent European stocks," Firming oil prices boost energy stocks globally; Iseq underperforms European peers
"
347,AIB,2018-07-07,Avoiding the ‘doom loop’: Why Ireland needed the IMF in 2009," Ashoka Mody oversaw the IMF’s relationship with Ireland in 2009, when politicians were ‘in denial’
"
348,AIB,2018-07-07,Goodbody Stockbrokers prepares to unveil Chinese tie-up next week," Roy Barrett to remain at Goodbody helm following takeover worth about €150 million
"
349,AIB,2018-07-06,Trade concerns fail to halt modest market gains," Iseq overall index again underperformed European peers, up 0.12 per cent
"
350,AIB,2018-07-06,Trade concerns fail to halt modest market gains," Market report: Iseq overall index again underperformed European peers, up 0.12 per cents
"
351,AIB,2018-07-05,Softening of trade rhetoric boosts global stocks," Ireland underperformed European peers with Iseq overall falling 0.16 per cent
"
352,AIB,2018-06-29,Global stocks climb despite trade tensions," Iseq ends week higher in post sell-off rally
"
353,AIB,2018-06-27,Markets see-saw over Trump’s trade decision on China," Concession on Chinese investments leads to Wall Street gains which were later reversed
"
354,AIB,2018-06-25,Escalating trade dispute prompts global sell-off," Iseq benchmark index fell 1.57 per cent, outperforming European markets
"
355,AIB,2018-06-23,Noise-sensitive AIB investors might want to hit mute," Irish academics join bitcoin bears and first casualty of collapse of Smurfit Kappa sale
"
356,AIB,2018-06-20,"Returning AIB to private ownership would be ‘right’ thing, says former CEO"," David Duffy says timing would be down to investor appetite for AIB shares
"
357,AIB,2018-06-19,World shares plummet as trade war fears prompt global sell-off," Safe haven assets including the dollar, yen and Swiss franc all rose on Tuesday
"
358,AIB,2018-06-19,ICG concludes financing facility with EIB to finance new ferry," Group says new facility has €80m committed drawling limit
"
359,AIB,2018-06-14,"Euro falters, stocks jump as ECB holds off on rate hikes"," Euro hits two-year low but equities jump nearly 1.5 per cent
"
360,AIB,2018-06-11,Investors shrug off G7 tensions as European stocks rebound," The Iseq overall index underperformed peers, closing up 0.25 per cent
"
361,AIB,2018-06-09,‘Mind the gap’: BofI boss hopes London trip will close stock discount," Francesca McDonagh to outline plan at capital markets day for analysts and investors
"
362,AIB,2018-06-07,Hope for European banks as speculation mounts over end to ECB stimulus," Mixed performance for Irish banks with AIB up 0.7% and Bank of Ireland down over 0.3%
"
363,AIB,2018-06-06,Iseq advances as wider European market closes flat," Banks edge upwards and Applegreen also in demand
"
364,AIB,2018-06-05,Political nervousness in Spain and Italy impact on shares," Smurfit Kappa shares slide almost 7% while Aer Lingus owner IAG falls 3.49%
"
365,AIB,2018-06-04,David Duffy-led CYBG sweetens Virgin Money offer," Shares in Virgin Money rose by as much as 0.6%, while CYBG surged by up to 4.1%
"
366,AIB,2018-05-30,Italian stocks rebound and lift European equities," Oil prices rose, boosting energy stocks, while Wall Street also opened higher
"
367,AIB,2018-05-28,Italian political crisis sees risk appetite wither in Europe," Market report: Trading light as US and UK holiday but PTSB and INM show activity
"
368,AIB,2018-05-25,Bank of Ireland attracts interest as markets generally flat," Weaker oil prices hit majors, including Tullow Oil, BP and Royal Dutch Shell
"
369,AIB,2018-05-23,Markets trend down as US-China trade talks hit obstacle," Dublin’s Iseq falls in line with other European bourses
"
370,AIB,2018-05-22,Shares bounce on hopes for US-China breakthrough," Irish banks ride a wave of positivity that sweep along the European financial sector
"
371,AIB,2018-05-22,First Derivatives hails strong performance outside of fintech space," Company has scored a number of big win clients of late including Red Bull Racing
"
372,AIB,2018-05-22,Will giving AIB shares to charity allow me access my capital loss?," Q&A: Unless the shares are sold, there’s no capital loss to use
"
373,AIB,2018-05-16,Italian political risk scares investors but Europe closes higher," Iseq overall index closed up 0.16%, buoyed by Paddy Power
"
374,AIB,2018-05-14,Paddy Power Betfair drags Iseq into the black," Weak financial stocks weigh on European shares after strong run of weekly gains
"
375,AIB,2018-05-14,Central Bank confirms AIB’s MREL requirement," Regulator gives bank target on ‘bail-in-able’ debt
"
376,AIB,2018-05-13,"Ireland loses ‘global calling card’ as Apple snubs Athenry, claims IDA"," Seen & Heard: State agency warns of global investment fallout from tech giant’s decision
"
377,AIB,2018-05-10,‘We sold more new homes last weekend than we did in the whole of 2011’ - Mark FitzGerald," Co-founder of Sherry FitzGerald, and winner of The Irish Times Distinguished Leader in Business award, on recession, recovery, expansion and the future
"
378,AIB,2018-05-09,Mark Bourke named ‘Irish Times’ chief financial officer of the year," Bourke was a key player in AIB’s return to Dublin and London stock markets
"
379,AIB,2018-05-09,Oil rally drives European shares higher," Trump’s decision to pull US out of Iran’s nuclear agreement boosts crude prices
"
380,AIB,2018-05-09,The successful habits of Ireland’s most successful business leaders," Winners of The Irish Times Business Person of the Month Award, on what leadership is, who they are influenced by, and what alternative career they might have pursued
"
381,AIB,2018-05-08,UK bank Clydesdale makes takeover bid for Virgin Money," David Duffy-led bank is looking to create Britain’s leading ‘challenger’ bank
"
382,AIB,2018-05-03,US-China trade concerns trouble global investors," Iseq overall index falls 0.77% with Dalata, Bank of Ireland and AIB among the losers
"
383,AIB,2018-05-03,Cantor Fitzgerald to buy Merrion in deal worth up to €18m," Rising regulatory and compliance costs will see wave of consolidation in finance industry
"
384,AIB,2018-04-28,Uniphar advances towards IPO with latest acquisition," Buying Sisk brings Maurice Pratt and Ger Rabbette closer to pan-European goal
"
385,AIB,2018-04-27,Judges gather as clock ticks down to Irish Times Business Awards," Winners selected in four categories, including Business Person of the Year
"
386,AIB,2018-04-27,Banker bonuses expose chasm between Minister and AIB investors," Despite protests by investors, a decade after bailout banks still need push to do right thing
"
387,AIB,2018-04-25,ECB backs Paschal Donohoe’s bank bonus stance," AIB CEO warns on high executive turnover as incentive plans continue to be banned
"
388,AIB,2018-04-24,European shares choppy as earnings fail to set trend," Bookmakers in UK hit by restrictions on fixed odds betting terminals (FOBTs)
"
389,AIB,2018-04-23,Rising US Treasury yields affect shares as Europe edges ahead," In Dublin shares at AIB, Bank of Ireland and Datalex rise on day of solid volumes
"
390,AIB,2018-04-21,Bank bonus reform could bring down the Government," Paschal Donohoe knows the dangers inherent in AIB’s proposed share scheme
"
391,AIB,2018-04-12,Shares rally after Trump signals strike on Syria not imminent," Ireland’s Iseq overall index closes up 0.95%, outperforming European markets
"
392,AIB,2018-04-04,Brewing US-China trade war takes the fizz out of European stocks," C&C surges after purchase of Matthew Clark Bibendum, but UK investors play it safe
"
393,AIB,2018-04-03,European stocks dip on beginning of second quarter," Iseq overall index dips 0.2%, while US technology shares recover from Monday sell-off
"
394,AIB,2018-04-02,Five companies in Ireland vie for ‘Deal of the Year’ award," AIB, Total Produce, Circle Internet Finance, Noonan Services and Statsports nominated
"
395,AIB,2018-04-01,Aryzta leads shares lower amid worst Iseq20 quarter since Brexit vote," Paddy Power Betfair lost almost 16 per cent in first quarter as analysts cut forecasts
"
396,AIB,2018-03-31,Turmoil engulfs Independent House as watchdog shows its teeth," Business Week: also in the news were struggling banks; job losses; and new flights
"
397,AIB,2018-03-28,Irish bank shares rise over tax pledge but US tech stocks take a beating," Market report: Amazon fell more than 5 per cent after reports that president Trump was looking to target the company by changing its tax treatment
"
398,AIB,2018-03-28,"AIB, Bank of Ireland shares rise as tax relief assured"," Minister rules out restricting bank’ ability to use past losses to pay no corporate tax over long term
"
399,AIB,2018-03-27,European shares surge as US-China trade war fears ease," Market report: Permanent TSB rose amid hopes it can reclassify €900m of non-performing mortgages as performing loans
"
400,AIB,2018-03-27,Irish Stock Exchange trading surges as Euronext completes €159m deal," ISE to operate under Euronext Dublin brand and act as global hub for debt and fund listings
"
401,AIB,2018-03-27,Russian companies sanctioned over Ukraine linked to Ireland," Companies include several close to Kremlin and Russian president Vladimir Putin
"
402,AIB,2018-03-24,Plans for Limerick to hit new heights," The city’s visitors will have three more towers to look at if planning permission is secured
"
403,AIB,2018-03-22,US-China trade war concerns send shares tumbling," European equities decline, with banks, basic resources and tech stocks in the red
"
404,AIB,2018-03-22,"ECB target ‘impossible’ without loans sale, PTSB says"," Regulatory guidance makes loan sale inevitable, bank chief to tell Oireachtas committee
"
405,AIB,2018-03-21,Shares fall as trade war concerns depress confidence," In Europe financials contributed the most to losses with banking sector down 0.9 per cent
"
406,AIB,2018-03-19,Who are the contenders for ‘Irish Times’ Business Person of the Year?," Six Business Person of the Month winners are profiled ahead of awards night in May
"
407,AIB,2018-03-19,Outstanding field for chief financial officer of the year," ‘Irish Times’ Business Person of the Year awards: the CFOs
"
408,AIB,2018-03-17,AIB purchase of Investec Ireland could point way forward," Planned sale of Investec Ireland to regulated bank in EU may help tackle Brexit challenges
"
409,AIB,2018-03-16,European shares rise on back of robust US data," Iseq retreats slightly on Brexit-sensitive stocks
"
410,AIB,2018-03-14,Italian politics and weak banks weigh on European shares," Global markets remain unsettled by fear of trade war sparked by threat of US tariffs
"
411,AIB,2018-03-14,Glenveagh in talks to buy Irish land from overseas funds," Housebuilder estimates land could deliver 17,000 homes
"
412,AIB,2018-03-13,Greencore suffers disastrous day on the markets," Elsewhere, sterling is boosted by the sacking of US secretary of state Rex Tillerson
"
413,AIB,2018-03-13,McKillen jnr’s Press Up hospitality group weighs stock market flotation," Irish pub, hotel and restaurant company has hired Goodbody Stockbrokers to assess its funding options
"
414,AIB,2018-03-10,Core Industrial Reit pulls its €225m Irish IPO – is this an inflection point?," ‘Market conditions’ blamed, but there may have been internal issues with this deal
"
415,AIB,2018-03-09,Markets welcome US jobs growth but Dublin trading subdued," Market report: INM down 2%, while European steelmakers see a slump
"
416,AIB,2018-03-05,AIB shares turn volatile on talk of further State sale," Market report: Iseq closes down despite rally as FTSE gains amid reignited concerns about Brexit and as the euro held onto most of its gains against sterling last week
"
417,AIB,2018-03-03,May under pressure on Brexit as former PMs have their say," Business Week: also in the news was the bad weather; INM; and a slew of company results
"
418,AIB,2018-03-02,Irish bankers to see the return of their bonuses," AIB reveals plans for a deferred annual share scheme for its senior executives
"
419,AIB,2018-03-01,European shares close lower led by Carrefour and WPP," Shares up at CRH but down at AIB as Dublin market closes at midday due to bad weather
"
420,AIB,2018-03-01,Irish Stock Exchange closes due to severe weather warnings," Brokers express surprise at move that is also designed to ‘protect market integrity’
"
421,AIB,2018-03-01,AIB executives to get deferred shares equivalent to 100% of their salaries," As AIB is majority State owned, its executive directors are subject to €500,000 salary cap
"
422,AIB,2018-02-27,Markets slip amid indications of US interest rate rises," Market report: FBD the star performer in Dublin while Sky soars on bidding war
"
423,AIB,2018-02-25,"Facebook considers AIB’s HQ as campus for 5,000 workers"," Seen&Heard: Donegal Catch could be landed for €57M; drug company flotation
"
424,AIB,2018-02-22,European corporate results fail to impress investors," Iseq off by 0.14% on Thursday while pan-European Stoxx 600 down by 0.2%
"
425,AIB,2018-02-20,Kerry Group falls as Green Reit advances after issuing results," Walmart decline in the US put brakes on S&P and Dow’s winning streak
"
426,AIB,2018-02-17,What is going on at PTSB and what's the story with its mortgages?," Removal of bank’s problem loans raises questions over its continued existence
"
427,AIB,2018-02-17,Publicans raise a glass to economic recovery," Cantillon: Irish pub sector is growing again following a decade-long hangover from the crash
"
428,AIB,2018-02-16,Markets stronger across the board at end of volatile week," Iseq up nearly 1% as financial stocks strengthen
"
429,AIB,2018-02-15,UK-based visitors down but spending more in Irish pubs," New report by AIB on pub sector says Brexit threat ‘not excessive’ as matters ‘stabilised’
"
430,AIB,2018-02-08,Stocks endure another day of volatility as US bond yields creep up," Iseq falls 1.58% in line with European markets, and FTSE is worst performing Euro stock
"
431,AIB,2018-02-07,US markets mixed as Europe trades higher," Dow opened higher while S&P index was down slightly
"
432,AIB,2018-02-06,Dublin market has volatile day influenced by wild trading in US," Just five Dublin-listed shares finish the session in positive territory
"
433,AIB,2018-02-06,Volatility reigns although feared global wipeout partially stalls," Extreme fluctuations in US trading blight markets in Europe, though panic recedes
"
434,AIB,2018-02-06,Dublin stock market staunches sell-off as US rally soothes meltdown fears," European bourses begin to bounce back but volatility remains
"
435,AIB,2018-02-05,Global stocks extend biggest sell-off since 2016," Investors remain spooked by threat of inflation in US
"
436,AIB,2018-02-03,Bank of Ireland hires Australian to lead €900m technology overhaul," Steve Collier has held senior roles in retail, credit and strategic programmes at NAB
"
437,AIB,2018-02-03,AIB in talks to buy Investec Ireland," Move comes after bank exited EU aid plan which prevented it from doing deals
"
438,AIB,2018-02-02,HWBC dismisses Denis O'Brien Dublin office ‘bubble’ claim," Dublin office market vacancy rate currently 7 per cent, agency estimates
"
439,AIB,2018-02-01,‘Irish Times’ Business Person of the Year awards to take place in May," Inaugural gala awards night run in association with KPMG, to showcase best in business
"
440,AIB,2018-02-01,AIB launches new €100m social housing fund," Bank to provide loans on more attractive terms to developers of social housing
"
441,AIB,2018-01-30,Stocks take biggest two-day dive in six months," Investors fret over tumbling oil prices and a jump in borrowing costs
"
442,AIB,2018-01-29,Pharma giant Sanofi’s takeover of rival dominates European markets," Food industry stocks weak in Dublin as overall volumes are below average
"
443,AIB,2018-01-27,Global elite tackles ‘fractured world’ at snowy Davos," Business Week: also in the news were a new mortgage scheme, office space and the banks
"
444,AIB,2018-01-25,Upbeat euro pulls European stocks lower," The Iseq Overall Index underperformed its peers and closed down by 1.53%
"
445,AIB,2018-01-24,"Investors primed for fresh AIB share sale, says Citi executive"," At Davos, banker tells ‘Irish Times’ market is now ready for AIB to sell more shares
"
446,AIB,2018-01-19,AIB buoys Iseq on record day in Europe," Iseq overall index closes up by almost 1% while Stoxx 600 hits highest level in 10 years
"
447,AIB,2018-01-15,Carillion collapse weighs heavily on UK and European equities," Ireland’s benchmark Iseq index bucked the trend to close marginally ahead
"
448,AIB,2018-01-14,"Seen and Heard: AIB eyes incentives for developers, landlords and empty nesters"," Actavo job cuts; new names on rich list; flooding insurance
"
449,AIB,2018-01-12,Strong JPMorgan earnings update boosts US financial stocks," Iseq index closes up 0.6% in Dublin on last day of trading week
"
450,AIB,2018-01-10,Bank rally pushes markets up again," Dublin’s Iseq bucks trends falling 76 points to 7,102
"
451,AIB,2018-01-08,Peter Sutherland: Powerful player in political and corporate worlds," Roles in oil, banking and Bilderberg Group took former attorney general to world stage
"
452,AIB,2018-01-06,Blair wades into Brexit as world of finance takes stock," Business Week: Property bounce, EU finance reforms, and Irish companies expanding
"
453,AIB,2018-01-06,My Celtic Tiger ‘shoeshine boy’ moment," The Crash – 10 years on: Norah Casey, Eamon Dunphy, Jim Power, Eleanorr Tiernan, Eamon Ryan and Frank Connolly on the moment they knew the boom was going bust
"
454,AIB,2018-01-05,"Spotify, Airbnb and Dropbox among 2018’s expected IPOs"," Closer to home, IPL Plastics and Digicel could also make the move this year
"
455,AIB,2018-01-05,Most-wanted and least-loved stocks as investors eye 2018," Agenda: Applegreen and CRH top of the list, but C&C and PTSB are out of favour
"
456,AIB,2018-01-03,Wall Street hits record as European stocks trade higher," Iseq overall index closes up 0.02% with Ryanair rising on strong passenger numbers
"
457,AIB,2018-01-02,Cairn Homes leads Iseq 20 on house price hopes," Volumes were muted following the end of the holiday season, while the EU’s MiFID II changes also kept trading cautious
"
458,AIB,2017-12-30,Light trading volumes on last business day of 2017," Euro set to go out on a high against the dollar
"
459,AIB,2017-12-27,Slow iPhone sales pushes European tech stocks down," Iseq overall index ended up by 0.05% while Stoxx 600 closed up by 0.1%
"
460,AIB,2017-12-27,A month-by-month look back at 2017 in Ireland," News review of the year: Border issues, the Garda whistleblower scandal, property prices, the Paradise Papers, Storm Ophelia and the Rescue 116 tragedy were some of the big stories of 2017
"
461,AIB,2017-12-26,If you were a market bear in 2017 you got burnt," US equity markets reached new highs seemingly on a daily basis for much of 2017
"
462,AIB,2017-12-22,European stocks struggle while Nike weighs on US market," Volumes thin on Iseq and FTSE in a half-day of trading in Dublin and London
"
463,AIB,2017-12-21,Tracker impact wanes with AIB reversing losses and closing up," In US, lower corporate tax rates and growth expectations boost market sentiment
"
464,AIB,2017-12-20,Tracker mortgage scandal: Where each of the five banks stand," With the number of cases now reaching 33,700, Joe Brennan assesses how each of the banks have handled the scandal so far
"
465,AIB,2017-12-18,Ryanair shares down 2% after decision to recognise pilots’ unions," US stocks kick off penultimate week of year positively as Republicans reach deal on tax cuts
"
466,AIB,2017-12-16,We need to talk about the real cost of AIB bailout," As AIB urges Government to sell its shares, State must look to recouping €28bn-plus
"
467,AIB,2017-12-16,AIB and KBC in focus as thousands more tracker cases identified," Banks have until close of business on Monday to submit updated figures to Central Bank
"
468,AIB,2017-12-15,Ryanair and H&M lead European equities lower," Shares in Dublin underperform European counterparts
"
469,AIB,2017-12-15,What next for commercial property?,"With the economy in good health and the jobs market heading towards full employment, there is a lot happening in the commercial property scene. Here are some trends in key sectors to watch out for in 2018 and beyond"
470,AIB,2017-12-14,European shares flag as ECB provides no momentum," Ryanair falls in Dublin as more negative industrial relations news filters out
"
471,AIB,2017-12-14,"Good time to sell State stake, says AIB chief"," Paradise Papers show bank declined to give the Revenue Commissioners access to data
"
472,AIB,2017-12-09,Dramatic week in Anglo-Irish relations ends with a deal," Business Week: State’s corporate tax affairs in the dock (again)
"
473,AIB,2017-12-06,Commercial property market finally finishes firefighting," Irish investors muscled past foreign investors in the 3rd quarter
"
474,AIB,2017-12-05,Sterling recovers as concerns about Brexit soften," AIB shares ended the day up almost 1% after earlier surging following trading update
"
475,AIB,2017-12-05,AIB shares surge as it allays fears over any further tracker provisions," AIB’s level of bad loans fell by €500 million to €7.3 billion during the quarter
"
476,AIB,2017-12-03,Seen and Heard: Revenue chasing banks on offshore clients," Dublin link to Uber case revealed as BoI reported to offer worst deal for tracker clients
"
477,AIB,2017-12-01,Merrion downgrades FBD and AIB," Broker suggests both shares had hit their target price in recent weeks
"
478,AIB,2017-12-01,Euronext eyes Brexit dividend via Irish Stock Exchange deal," UK vote to leave EU persuaded Dublin bourse operator to seek strategic partner
"
479,AIB,2017-11-30,Dublin traders eye surge in AIB trading volumes," European stocks finish lower, sterling climbs and oil wobbles
"
480,AIB,2017-11-29,Banks lead European markets higher," Bank of Ireland enjoys bounce after new CEO buys shares and on foot of euro-wide rally
"
481,AIB,2017-11-28,David Duffy awarded CYBG shares worth £1m," Three Irish executives at CYBG awarded 600,000 shares worth a combined £1.9m
"
482,AIB,2017-11-28,Royal Dutch Shell helps European shares edge upwards," Volumes light on Iseq though Permanent TSB advanced 2.32% on thin trading
"
483,AIB,2017-11-27,European markets dip on slump in metals," Irish-Swiss food group Aryzta rose by more than 4% in Dublin following trading update
"
484,AIB,2017-11-24,NY-listed Irish equities fund eyes more Dublin IPOs," New Ireland Fund seeking to raise additional funds by offering one share for every three held
"
485,AIB,2017-11-23,European equities flat as China suffers biggest slump in 2 years," Iseq down 0.51% with Bank of Ireland and AIB both falling
"
486,AIB,2017-11-22,Lloyds plots €5bn loan sale to finally quit Ireland," London-based bank racked up €12.3bn losses on Irish loans between 2008 and 2011
"
487,AIB,2017-11-21,Swedish hotel group on track to buy Jurys Inn for €900m," Hotel chain is set to change hands for the second time in three years
"
488,AIB,2017-11-20,German political problems fail to scare European stock markets," Market report: Roche shares jump almost 6% on positive news from experimental drug tests
"
489,AIB,2017-11-14,Strong economic growth in Germany boosts the euro," AIB finishes the day down 0.5% after Central Bank initiates enforcement investigation
"
490,AIB,2017-11-14,What are the world’s best-performing stock markets?," Due to heavy role of the banks on the Iseq, and 2007 crash, Ireland isn’t one of them...
"
491,AIB,2017-11-11,Business leader and public servant for more than 50 years," Liam St John Devlin – Born; January 31st, 1924. Died; October 22nd, 2017
"
492,AIB,2017-11-09,Stocks stumble on sour Brexit mood and faltering US tax plan," In Dublin, Bank of Ireland drops after adding more customers to tracker compensation list
"
493,AIB,2017-11-03,FTSE hits record high after Bank of England interest rate rise," Ireland’s benchmark index closes up 0.17 per cent with Total Produce top performer
"
494,AIB,2017-11-03,Fishing from a small gene pool: Irish boards and interlocking directorships," Busy people: Meet 10 of the most powerful Irish listed company directors
"
495,AIB,2017-11-02,Markets fall on US tax plan and UK rate hike," In Dublin, Smurfit Kappa continues positive trend despite posting fall in earnings
"
496,AIB,2017-10-29,Seen & Heard: what the Sunday papers reported," Stamp duty changes; Swedish bid for Jury’s Inn; INM eyes Business Post
"
497,AIB,2017-10-25,Tracker scandal drags banks and Iseq Index down," Dow Jones retreats after Republican senators publicly criticise Donald Trump
"
498,AIB,2017-10-20,Tracker scandal: is your bank playing fair...or not?  ," Ireland’s 15 mortgage lenders have had to respond to the Central Bank. Some have been more upfront than others
"
499,AIB,2017-10-19,Banks lead the Iseq into negative territory," European shares lower across the board as Spanish political upheaval continues
"
500,AIB,2017-10-18,European stocks edge up to near four-month highs," Brewing tracker mortgage controversy anchors banks on Irish market
"
501,AIB,2017-10-18,Peak office at last,"After years of sharp rises since the Dublin office market bottomed out in 2011, headline rents may be close to a level last seen in 2007"
502,AIB,2017-10-16,"Ryanair, FBD and banks weigh on Iseq as Ophelia hits Ireland"," Market report: Iseq index in Dublin stood out as a weak spot as investors speculated on cost of Ophelia
"
503,AIB,2017-10-16,"Higher turnover at Doyle hotels, the IDA’s plan for data centres, Brexit jobs and AIB fees"," Business Today: The best news, analysis and comment from ‘The Irish Times’ business desk
"
504,AIB,2017-10-16,Davy earned more than €1.7m in fees from AIB’s IPO," Irish stockbroker Goodbody also received large fees from bank’s stock market listing
"
505,AIB,2017-10-13,Bayer asset sale pushes European shares to almost four-month high," INM share price falls 4.63 per cent following resolution of boardroom row
"
506,AIB,2017-10-13,Glenveagh Properties formally commences trading in Dublin," Newly-listed Irish housebuilder now has a market capitalisation of €696m
"
507,AIB,2017-10-10,AIB’s net interest and other income continue to grow ‘strongly’," Bank’s level of impaired loans has declined since the end of June
"
508,AIB,2017-10-10,Are AIB’s days as market darling numbered?," Goldman has upgraded its stance on Bank of Ireland’s stock to an outright ‘buy’
"
509,AIB,2017-10-09,Spanish shares advance as Catalonia concerns ease; Kerry dips in Dublin," Ireland’s Iseq out of sorts, with market heavyweight Kerry Group falling by 2.1%
"
510,AIB,2017-10-05,Spanish banks consider leaving Catalonia after unrest," Iseq Index down 0.5%, driven by CRH and Ryanair, while US stocks hit new record high
"
511,AIB,2017-10-04,ECB warns banks who fail to meet new bad-debt guidance," Banks face higher capital demands and possible sanctions for failing to comply
"
512,AIB,2017-10-03,Ryanair shares soar after collapse of UK rival Monarch," Irish Stock Exchange outperforms peers, while UK and US share indices rise
"
513,AIB,2017-09-29,Weaker euro pushes stocks to year’s biggest monthly gain," VW shares sink further, while fuel retailer Applegreen’s shares fall 2.3 per cent to €6.05
"
514,AIB,2017-09-26,European shares steady after oil gain," Iseq slips 0.2% while on Wall Street technology recovers from losses in prior session
"
515,AIB,2017-09-22,Brexit-sensitive Irish shares falter as sterling dips on May speech," FTSE-100 manages to eke out a gain as exporters cheer sterling’s weakness
"
516,AIB,2017-09-18,Green Reit close to agreeing key commercial lettings in Dublin," Irish property group well placed to benefit from Brexit relocations, chief executive says
"
517,AIB,2017-09-15,Financials drag Irish and European indices lower," US shares edge up as investors shrug off North Korea’s latest missile test
"
518,AIB,2017-09-13,Glenveagh Properties IPO target rises to more than €450m," Oaktree-backed Irish housebuilder expected to float in Dublin and London in October
"
519,AIB,2017-09-13,Pirelli to overtake AIB with largest European IPO this year," The company is seeking an equity valuation of as much as €9 billion
"
520,AIB,2017-09-12,Markets rally after fears about hurricane and North Korea subside," Applegreen closed at a 52-week high after announcing its first dividend payment
"
521,AIB,2017-09-08,All quiet in Dublin and Europe as hurricanes batter US markets," US stocks hold firm in choppy trading; Equifax down 15% after major hacking
"
522,AIB,2017-09-08,Richie Boucher: ‘I’m just a boy from Africa who managed to run a bank’," No fanfare as Bank of Ireland chief executive prepares to step down
"
523,AIB,2017-09-04,Shares dip as tension over North Korea makes investors nervy," Pan-European Stoxx 600 index and euro zone blue chips both fall 0.5 per cent
"
524,AIB,2017-09-04,Irish Stock Exchange eyes Brexit opportunities as profits surge 21%," Bourse’s short-term investments rose to €47.8 million last year from €42.2 million
"
525,AIB,2017-08-31,"North Korean jitters subside, world markets edge up"," Ireland’s benchmark index ticked up by 1.08%, Cairn Homes and ICG perform well
"
526,AIB,2017-08-31,AIB promoted to key FTSE index as Paddy Power Betfair moves down," Cairn Homes to join FTSE Global Small Cap Index under rejig from September 18th
"
527,AIB,2017-08-27,German bank claims Government is slowing its entry to mortgage market," Seen & Heard: Sunday paper claims half of housing land sold by Nama is “unviable” for development
"
528,AIB,2017-08-25,"CRH, Providence Resources, IN&M and Glanbia all close lower"," In European markets advancing mining shares fail to outweigh declining retailers
"
529,AIB,2017-08-25,"Inside Track Q&A: Louise Stokes, founder of Loulerie jewellery boutique in Dublin"," Stokes offers a bespoke jewellery design service as well as her own brand of jewellery
"
530,AIB,2017-08-24,Dublin and London-listed Greencoat given outperform rating," Greencoat raised €270m last month when it listed in an initial public offering (IPO)
"
531,AIB,2017-08-22,‘Unscrupulous landlords’ blamed for worst homeless crisis in ‘living memory’," Dublin needs one block of 200 student beds every month for the next 10 years – economist
"
532,AIB,2017-08-21,European shares fall over Korean worries," Dublin market follows suit in day of little corporate news
"
533,AIB,2017-08-18,Barcelona terror attacks shake European travel stocks," Positive Kingspan results sends stock 9.5 per cent higher
"
534,AIB,2017-08-15,Air Berlin insolvency filing causes market turbulence," Airline shares climb in Europe as investors speculate on likely winners from insolvency
"
535,AIB,2017-08-13,Absence of Ministers mars otherwise perfect Tullamore Show," Record-breaking numbers attend largest one-day agricultural show
"
536,AIB,2017-08-11,Kerry gives up gains as Iseq ends week on a dip," Equities post their worst week this year amid tensions between the US and North Korea
"
537,AIB,2017-08-11,Little change at the top as Irish boardrooms remain a male affair," Some leading companies have set or met gender balance targets. Others, not so much
"
538,AIB,2017-08-09,European shares decline on Paris incident and North Korea worries," Dublin closes lower, with Permanent TSB and Smurfit among the weakest stocks
"
539,AIB,2017-08-08,AIB’s €2.8bn tax assets valued at 80% discount by UBS," Bank expects to cut tax bill over three decades as it uses up tax assets after vast losses
"
540,AIB,2017-08-08,Nine alternatives to putting your money on deposit," If you’re less than enthused by earning just €65 a year on a deposit of €15,000, what are your options?
"
541,AIB,2017-08-07,Corcoran’s exit from Paddy Power sends stock tumbling," No bank holiday lull in Dublin as exit news that ‘came from left field’ shocks market
"
542,AIB,2017-08-05,Business week: Pre-budget speculation begins in earnest," Also in the news were diesel cars, Seán Dunne, Irish banks and artists’ tax relief
"
543,AIB,2017-08-03,Uptick for Euro markets but Irish banks take a tumble," Solid results from retail and building sectors, while Tesla eases pressure on US stocks
"
544,AIB,2017-08-03,AIB shares fall as adviser Morgan Stanley urges caution," Banks and brokers that worked on AIB IPO initiate coverage of stock after blackout
"
545,AIB,2017-08-01,Noonan Services bosses score €20m-plus payday with BidVest deal," Dublin-based facilities management and contract cleaning firm bought for €175m
"
546,AIB,2017-07-31,AIB’s Pym and Byrne start to buy shares in newly-floated bank," Directors acquire shares at up to €4.945, well above initial public offering price of €4.50
"
547,AIB,2017-07-31,South Africa’s BidVest snaps up Noonan Services for €175m," Dublin-based facilities management company sold for second time in decade
"
