Tech_ID,Name_Tech,Date_Tech,Headline_Tech,Description_Tech
373,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
374,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
375,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
376,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
377,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
378,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
379,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
380,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
381,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
382,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
383,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
384,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
385,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
386,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
387,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
388,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
389,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
390,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
391,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
392,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
393,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
394,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
395,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
396,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
397,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
398,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
399,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
400,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
401,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
402,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
403,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
404,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
405,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
406,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
407,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
408,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
409,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
410,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
411,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
412,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
413,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
414,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
415,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
416,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
417,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
418,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
419,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
420,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
421,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
422,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
423,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
424,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
425,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
426,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
427,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
428,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
429,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
430,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
431,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
432,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
433,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
434,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
435,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
436,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
437,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
438,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
439,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
440,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
441,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
442,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
443,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
444,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
445,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
446,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
447,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
448,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
449,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
450,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
451,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
452,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
453,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
454,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
455,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
456,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
457,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
458,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
459,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
460,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
461,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
462,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
463,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
464,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
465,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
466,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
467,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
468,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
469,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
470,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
471,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
472,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
473,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
474,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
475,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
476,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
477,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
478,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
479,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
480,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
481,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
482,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
483,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
484,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
485,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
486,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
487,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
488,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
489,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
490,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
491,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
492,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
493,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
494,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
495,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
496,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
497,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
498,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
499,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
500,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
501,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
502,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
503,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
504,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
505,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
506,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
507,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
508,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
509,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
510,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
511,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
512,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
513,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
514,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
515,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
516,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
517,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
518,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
519,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
520,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
521,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
522,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
523,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
524,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
525,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
526,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
527,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
528,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
529,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
530,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
531,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
532,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
533,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
534,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
535,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
536,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
537,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
538,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
539,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
540,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
541,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
542,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
543,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
544,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
545,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
546,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
547,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
548,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
549,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
550,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
551,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
552,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
553,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
554,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
555,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
556,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
557,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
558,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
559,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
560,level+of+innovation,2018-10-20,France faces growing threat of skills shortages," A key dynamic that could put a brake on France’s growth is difficulties in recruiting
            "
561,level+of+innovation,2019-10-08,Full text of Paschal Donohoe’s Budget 2020 speech," Minister says this budget has been developed in the shadow of Brexit
            "
562,level+of+innovation,2019-10-04,Ireland needs a plan for White House contender and Big Tech critic Warren," Senator’s plan to ‘break up’ Facebook, Google and Amazon creates dilemma for State
            "
563,level+of+innovation,2019-08-08,Merging two economies: How would a united Ireland add up?," Smart Money: Taoiseach spoke of new state – research shows the economic challenges
                    "
564,level+of+innovation,2019-07-05,Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
565,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
566,level+of+innovation,2019-05-30,Exports by Enterprise Ireland clients reach record high," Majority of markets, including UK, grew in 2018 despite Brexit and trade uncertainty
            "
567,level+of+innovation,2018-11-19,‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
568,level+of+innovation,2018-11-06,Shanghai expo sends clear message to Trump," Huge trade fair invites foreign companies to showcase goods to Chinese consumers
            "
